sampleid	name	date	latitude	longitude	country	Brouns_A.20151106	Mazankova_primerA_20.20151201	Decewicz_Dziewit_Lodz_Aseq2.20160126	Decewicz_Dziewit_Lodz_Aseq5.20160303	Decewicz_Dziewit_Warsaw_Aseq2.20160303	Tyakht_Nov_287_A	Decewicz_Dziewit_Wyszkow_Aseq2.20160126	Decewicz_Dziewit_Wyszkow_Aseq2.20160303	Decewicz_Dziewit_Wyszkow_Aseq3.20160126	Decewicz_Dziewit_Wyszkow_Aseq3.20160303	Mazankova_primerA_22.20151201	Mazankova_primerA_14.20151201	Mazankova_primerA_13.20151201	Mazankova_primerA_18.20151201	Mazankova_primerA_12.20151201	Mazankova_primerA_10.20151201	Decewicz_Dziewit_Warsaw_Aseq1.20160303	Decewicz_Dziewit_Warsaw_Aseq1.20160126	Decewicz_Dziewit_Warsaw_Aseq3.20160126	Decewicz_Dziewit_Warsaw_Aseq4.20160303	Muniesa_E1_Gav_primerA.201510	Muniesa_1.1_Gav_primerA.201510	Muniesa_E23_Gav_primerA.201406	Muniesa_E13_Gav_primerA.201405	Muniesa_E8_ElPratdeLlobregat_primerA.201401	Muniesa_E2_Gav_primerA.201510	Muniesa_E4_Gav_primerA.201311	Muniesa_E7_Gav_primerA.201401	Muniesa_E32_Girona_primerA.201505	Muniesa_E14_ElPratdeLlobregat_primerA.201401	Mazankova_primerA_4.20151201	Mazankova_primerA_19.20151201	Decewicz_Dziewit_Oswiecim_Aseq5.20160303	Mazankova_primerA_9.20151201	Decewicz_Dziewit_Warsaw_Aseq2.20160126	Decewicz_Dziewit_Warsaw_Aseq4.20160126	Decewicz_Dziewit_Warsaw_Aseq5.20160303	Decewicz_Dziewit_Wyszkow_Aseq1.20160126	Decewicz_Dziewit_Wyszkow_Aseq1.20160303	Decewicz_Dziewit_Wyszkow_Aseq5.20160303	Decewicz_Dziewit_Oswiecim_Aseq2.20160303	Cinek_bin15_primerA.20151120	Cinek_bin16_primerA.20151120	Decewicz_Dziewit_Lodz_Aseq4.20160303	Strain_primerA.20151215	Decewicz_Dziewit_Oswiecim_Aseq1.20160303	Decewicz_Dziewit_Warsaw_Aseq3.20160303	Mazankova_primerA_2.20151201	Decewicz_Dziewit_Oswiecim_Aseq1.20160126	Decewicz_Dziewit_Oswiecim_Aseq3.20160303	DiazMunoz_Davis1_A	DiazMunoz_NYC_A	Lavigne.PrimerA.20160126	Tyakht_Spb_73_13P_A	Wagemans_A.20160412	Tyakht_OM_178_A	Decewicz_Dziewit_Oswiecim_Aseq2.20160126	Decewicz_Dziewit_Oswiecim_Aseq4.20160303	Mazankova_primerA_5.20151201	Cinek_bin79_primerA.20151120	Mazankova_primerA_7.20151201	Qimron_Ramallah_A_20151202	DiazMunoz_Davis3_A	Qimron_Qalqilyah_A_20151202	Mazankova_primerA_3.20151201	crAssphage_A	Decewicz_Dziewit_Lodz_Aseq1.20160303	Tyakht_Spb_105_45P_A	Mazankova_primerA_23.20151201	Cho_A.20160208	Qimron_Jericho_A_20151202	Mazankova_primerA_6.20151201	Qimron_Salfit_A_20151202	Mazankova_primerA_11.20151201	Decewicz_Dziewit_Lodz_Aseq3.20160303	Fineran_Dunedin_	Decewicz_Dziewit_Lodz_Aseq1.20160126	Decewicz_Dziewit_Lodz_Aseq2.20160303	Tyakht_Spb_74_14P_A	Cinek_bin08_primerA.20151120	Cinek_bin13_primerA.20151120	Decewicz_Dziewit_Wyszkow_Aseq4.20160303	Mazankova_primerA_16.20151201	Tyakht_Nov_282_A	Santos_A1.20160225	Cinek_bin11_primerA.20151120	Cinek_bin12_primerA.20151120	Cinek_bin14_primerA.20151120	Cinek_bin71_primerA.20151120	Cinek_bin56_primerA.20151120	Cinek_bin55_primerA.20151120	Fineran_Greymouth_A	Santos_A2.20160225	Edwards_A.20151002.S3	Edwards_A.20151209.S1	Edwards_A.20151209.S3	Edwards_A.20151209.S4	Edwards_A.20151209.S2	Santos_A10.20160225	Edwards_A.20151002.S2	Edwards_A.20151002.S1	Nigro_A.20161212.SandIsland	CazaresVinuesa_20160516	Nigro_A.20161212.Waianae	Zambrano_A.20160412.1	Santos_A9.20160225	Edwards_A.20151002.S4	Zambrano_A.20160412.s2
Brouns_A.20151106	Brouns lab primer A 20151106	20151106	52.180646	5.9478529	The Netherlands	0.000000	0.021274	0.032750	0.032750	0.035011	0.042498	0.042022	0.042022	0.032751	0.032751	0.002225	0.002228	0.001604	0.004450	0.004483	0.002228	0.012216	0.007744	0.007744	0.007744	0.001118	0.001118	0.001118	0.000000	0.002239	0.002241	0.001118	0.001117	0.002220	0.007863	0.004449	0.009162	0.025802	0.006726	0.016712	0.016712	0.016712	0.017829	0.017829	0.016707	0.017856	0.021190	0.021190	0.026927	0.017846	0.017815	0.023474	0.005592	0.016746	0.016746	0.006653	0.003335	0.007744	0.020087	0.011142	0.024660	0.022360	0.022360	0.008066	0.015558	0.006776	0.017843	0.006663	0.009974	0.019007	0.022462	0.031545	0.019025	0.003411	0.029254	0.008858	0.011173	0.013341	0.017117	0.054900	0.007715	0.044424	0.044424	0.014586	0.046871	0.046871	0.070186	0.013827	0.058736	0.036255	0.130572	0.129139	0.129139	0.131051	0.128741	0.143308	0.005098	0.090702	0.099432	0.117442	0.072021	0.112682	0.151753	0.072819	0.093142	0.184756	0.185389	0.145624	0.184543	0.209595	0.131343	0.199345	0.241754
Mazankova_primerA_20.20151201	Mazankova primer A sample 20 20151201	20151201	50.1226675	16.2131856	Czech Republic	0.021274	0.000000	0.022405	0.022405	0.026978	0.030036	0.033845	0.033845	0.024704	0.024704	0.015731	0.016889	0.008076	0.019124	0.014686	0.016901	0.031577	0.029250	0.029250	0.029250	0.015836	0.015831	0.016983	0.015864	0.016991	0.017002	0.015833	0.016956	0.021428	0.023895	0.017972	0.013780	0.033872	0.019252	0.029292	0.029292	0.029292	0.030423	0.030423	0.029283	0.037404	0.033834	0.033834	0.037388	0.030423	0.030400	0.031499	0.018073	0.026976	0.026976	0.022401	0.016838	0.024653	0.030391	0.028220	0.037296	0.037364	0.037364	0.019771	0.028093	0.019402	0.032654	0.021287	0.024688	0.028060	0.029273	0.041929	0.033900	0.012586	0.043724	0.025773	0.019119	0.030409	0.028721	0.044286	0.009013	0.058709	0.058709	0.031827	0.050530	0.050530	0.076426	0.027930	0.060566	0.028080	0.132204	0.130763	0.130763	0.131414	0.130359	0.137889	0.011539	0.083076	0.118249	0.140202	0.093098	0.132038	0.168287	0.094037	0.110822	0.200023	0.204670	0.161072	0.198378	0.222015	0.159233	0.218957	0.268880
Decewicz_Dziewit_Lodz_Aseq2.20160126	Decewicz Dziewit Primer A Lodz 20160126	20160126	51.727940	19.347618	Poland	0.032750	0.022405	0.000000	0.000000	0.022359	0.020278	0.028098	0.028098	0.029290	0.029290	0.028346	0.029566	0.012970	0.029480	0.030904	0.031871	0.036168	0.033858	0.033858	0.033858	0.028515	0.028507	0.028509	0.027391	0.030880	0.029718	0.028510	0.028483	0.031842	0.035528	0.029446	0.024325	0.046747	0.030821	0.045540	0.045540	0.045540	0.038535	0.038535	0.037384	0.048006	0.048994	0.048994	0.053815	0.046781	0.044308	0.045452	0.028414	0.036225	0.036225	0.031633	0.030619	0.037380	0.047933	0.035194	0.047917	0.045556	0.045556	0.032880	0.040850	0.032205	0.042003	0.032824	0.040864	0.040873	0.037400	0.056207	0.043249	0.024229	0.056045	0.032680	0.034123	0.044413	0.034638	0.047787	0.014208	0.073359	0.073359	0.038875	0.058919	0.058919	0.070342	0.033906	0.067817	0.023505	0.135040	0.133592	0.133592	0.134342	0.130472	0.135123	0.018010	0.074220	0.129265	0.151546	0.103159	0.143994	0.187976	0.102543	0.124404	0.214216	0.208018	0.170027	0.211258	0.243520	0.155966	0.235726	0.290552
Decewicz_Dziewit_Lodz_Aseq5.20160303	Decewicz Dziewit Primer A Lodz 20160303	20160303	51.727940	19.347618	Poland	0.032750	0.022405	0.000000	0.000000	0.022359	0.020278	0.028098	0.028098	0.029290	0.029290	0.028346	0.029566	0.012970	0.029480	0.030904	0.031871	0.036168	0.033858	0.033858	0.033858	0.028515	0.028507	0.028509	0.027391	0.030880	0.029718	0.028510	0.028483	0.031842	0.035528	0.029446	0.024325	0.046747	0.030821	0.045540	0.045540	0.045540	0.038535	0.038535	0.037384	0.048006	0.048994	0.048994	0.053815	0.046781	0.044308	0.045452	0.028414	0.036225	0.036225	0.031633	0.030619	0.037380	0.047933	0.035194	0.047917	0.045556	0.045556	0.032880	0.040850	0.032205	0.042003	0.032824	0.040864	0.040873	0.037400	0.056207	0.043249	0.024229	0.056045	0.032680	0.034123	0.044413	0.034638	0.047787	0.014208	0.073359	0.073359	0.038875	0.058919	0.058919	0.070342	0.033906	0.067817	0.023505	0.135040	0.133592	0.133592	0.134342	0.130472	0.135123	0.018010	0.074220	0.129265	0.151546	0.103159	0.143994	0.187976	0.102543	0.124404	0.214216	0.208018	0.170027	0.211258	0.243520	0.155966	0.235726	0.290552
Decewicz_Dziewit_Warsaw_Aseq2.20160303	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351	20.959269	Poland	0.035011	0.026978	0.022359	0.022359	0.000000	0.032507	0.030377	0.030377	0.020115	0.020115	0.031787	0.033001	0.019544	0.037613	0.034361	0.034174	0.038471	0.040792	0.040792	0.040792	0.033152	0.033143	0.033145	0.032028	0.034344	0.034367	0.033146	0.035460	0.035266	0.040202	0.036413	0.027815	0.049078	0.037844	0.047870	0.047870	0.047870	0.045518	0.045518	0.044360	0.047940	0.053689	0.053689	0.051379	0.049066	0.044248	0.052529	0.034200	0.050328	0.050328	0.035096	0.031770	0.039648	0.050220	0.039837	0.050301	0.050189	0.050189	0.035265	0.045459	0.039260	0.049056	0.033973	0.043137	0.043231	0.042123	0.056182	0.045619	0.026547	0.064816	0.039635	0.038732	0.046694	0.034643	0.052473	0.019427	0.075691	0.075691	0.043515	0.054007	0.054007	0.073941	0.037483	0.073326	0.025795	0.137511	0.136059	0.136059	0.138295	0.132928	0.140487	0.020605	0.072812	0.135131	0.157467	0.108454	0.149358	0.191615	0.108528	0.124306	0.218959	0.205862	0.176148	0.209385	0.244731	0.161697	0.234553	0.290376
Tyakht_Nov_287_A	Tyakht Nov_287_A primer A	20160301	55.03	82.57	Russia	0.042498	0.030036	0.020278	0.020278	0.032507	0.000000	0.021497	0.021497	0.035051	0.035051	0.032838	0.032875	0.012953	0.034036	0.031755	0.036626	0.047509	0.043684	0.043684	0.043684	0.031782	0.031772	0.029314	0.029348	0.033091	0.033048	0.031747	0.033017	0.034062	0.038076	0.034022	0.023541	0.043719	0.034283	0.048765	0.048765	0.048765	0.049991	0.049991	0.048748	0.052659	0.053699	0.053699	0.049999	0.053857	0.055052	0.049934	0.032961	0.044981	0.044981	0.038736	0.036486	0.042455	0.055084	0.041366	0.048741	0.057668	0.057668	0.039125	0.047465	0.039221	0.043691	0.040050	0.043749	0.045009	0.046332	0.047428	0.047583	0.025927	0.056435	0.039916	0.043959	0.046274	0.039646	0.044865	0.018051	0.077357	0.077357	0.045209	0.055306	0.055306	0.060873	0.037495	0.064115	0.021477	0.120388	0.118880	0.118880	0.118977	0.118492	0.123329	0.023487	0.060590	0.130248	0.144617	0.109625	0.144150	0.192627	0.116182	0.131212	0.225427	0.182412	0.169077	0.181347	0.210422	0.182139	0.251426	0.210861
Decewicz_Dziewit_Wyszkow_Aseq2.20160126	Decewicz Dziewit Primer A Wyszkow 20160126	20160126	52.577948	21.429024	Poland	0.042022	0.033845	0.028098	0.028098	0.030377	0.021497	0.000000	0.000000	0.030421	0.030421	0.031842	0.034226	0.026195	0.035294	0.032036	0.035357	0.042071	0.045513	0.045513	0.045513	0.030828	0.030820	0.028523	0.028554	0.030864	0.032037	0.030823	0.031981	0.034130	0.036702	0.035278	0.020773	0.038433	0.035542	0.047930	0.047930	0.047930	0.049077	0.049077	0.047914	0.043261	0.045496	0.045496	0.046643	0.049128	0.051395	0.043112	0.033133	0.044394	0.044394	0.039774	0.036438	0.043174	0.049082	0.042226	0.044371	0.053827	0.053827	0.035268	0.044325	0.036917	0.039670	0.040982	0.043192	0.049137	0.048078	0.046612	0.046831	0.025404	0.058530	0.037290	0.038804	0.049105	0.034671	0.051334	0.019455	0.071966	0.071966	0.044818	0.048077	0.048077	0.064137	0.036296	0.073429	0.022357	0.122292	0.120880	0.120880	0.121060	0.120773	0.125180	0.023274	0.072731	0.137655	0.158852	0.113398	0.159142	0.199008	0.110089	0.135713	0.223900	0.218959	0.177785	0.216843	0.248151	0.171226	0.244814	0.287171
Decewicz_Dziewit_Wyszkow_Aseq2.20160303	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948	21.429024	Poland	0.042022	0.033845	0.028098	0.028098	0.030377	0.021497	0.000000	0.000000	0.030421	0.030421	0.031842	0.034226	0.026195	0.035294	0.032036	0.035357	0.042071	0.045513	0.045513	0.045513	0.030828	0.030820	0.028523	0.028554	0.030864	0.032037	0.030823	0.031981	0.034130	0.036702	0.035278	0.020773	0.038433	0.035542	0.047930	0.047930	0.047930	0.049077	0.049077	0.047914	0.043261	0.045496	0.045496	0.046643	0.049128	0.051395	0.043112	0.033133	0.044394	0.044394	0.039774	0.036438	0.043174	0.049082	0.042226	0.044371	0.053827	0.053827	0.035268	0.044325	0.036917	0.039670	0.040982	0.043192	0.049137	0.048078	0.046612	0.046831	0.025404	0.058530	0.037290	0.038804	0.049105	0.034671	0.051334	0.019455	0.071966	0.071966	0.044818	0.048077	0.048077	0.064137	0.036296	0.073429	0.022357	0.122292	0.120880	0.120880	0.121060	0.120773	0.125180	0.023274	0.072731	0.137655	0.158852	0.113398	0.159142	0.199008	0.110089	0.135713	0.223900	0.218959	0.177785	0.216843	0.248151	0.171226	0.244814	0.287171
Decewicz_Dziewit_Wyszkow_Aseq3.20160126	Decewicz Dziewit Primer A Wyszkow 20160126	20160126	52.577948	21.429024	Poland	0.032751	0.024704	0.029290	0.029290	0.020115	0.035051	0.030421	0.030421	0.000000	0.000000	0.028373	0.029578	0.017927	0.033004	0.029741	0.029553	0.031589	0.036206	0.036206	0.036206	0.028542	0.028534	0.027387	0.026268	0.028575	0.029746	0.028537	0.029695	0.031843	0.034405	0.031813	0.023143	0.039694	0.034394	0.043246	0.043246	0.043246	0.040905	0.040905	0.039750	0.043310	0.049047	0.049047	0.044310	0.046782	0.041977	0.045543	0.028419	0.045684	0.045684	0.029327	0.029499	0.037381	0.047936	0.035231	0.048013	0.045558	0.045558	0.029284	0.043184	0.030999	0.042004	0.029343	0.040865	0.037332	0.033912	0.043049	0.039691	0.017204	0.059921	0.035053	0.030621	0.041993	0.035903	0.062175	0.015530	0.072164	0.072164	0.041224	0.049336	0.049336	0.062690	0.037517	0.069757	0.022340	0.124775	0.123360	0.123360	0.125001	0.120328	0.127672	0.020662	0.071201	0.134015	0.150082	0.105021	0.145918	0.184509	0.104331	0.123181	0.213291	0.199177	0.168356	0.206391	0.246662	0.163417	0.235033	0.282188
Decewicz_Dziewit_Wyszkow_Aseq3.20160303	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948	21.429024	Poland	0.032751	0.024704	0.029290	0.029290	0.020115	0.035051	0.030421	0.030421	0.000000	0.000000	0.028373	0.029578	0.017927	0.033004	0.029741	0.029553	0.031589	0.036206	0.036206	0.036206	0.028542	0.028534	0.027387	0.026268	0.028575	0.029746	0.028537	0.029695	0.031843	0.034405	0.031813	0.023143	0.039694	0.034394	0.043246	0.043246	0.043246	0.040905	0.040905	0.039750	0.043310	0.049047	0.049047	0.044310	0.046782	0.041977	0.045543	0.028419	0.045684	0.045684	0.029327	0.029499	0.037381	0.047936	0.035231	0.048013	0.045558	0.045558	0.029284	0.043184	0.030999	0.042004	0.029343	0.040865	0.037332	0.033912	0.043049	0.039691	0.017204	0.059921	0.035053	0.030621	0.041993	0.035903	0.062175	0.015530	0.072164	0.072164	0.041224	0.049336	0.049336	0.062690	0.037517	0.069757	0.022340	0.124775	0.123360	0.123360	0.125001	0.120328	0.127672	0.020662	0.071201	0.134015	0.150082	0.105021	0.145918	0.184509	0.104331	0.123181	0.213291	0.199177	0.168356	0.206391	0.246662	0.163417	0.235033	0.282188
