#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Lagos|20160202|Nigeria|1	50.Nigeria.Lagos.02-02-2016	20160202	6.5243793,3.3792057		6.5243793	3.3792057				Nigeria	Lagos																			crAssphage_A 1-1331 (100%) aligns to NODE_2684_length_5517_cov_7.43647 3686-5016 with 94.591% identity	
Lanzhou_Shi|20120101|China|246	SRA Sample ERR1018206 220	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|151	SRA Sample SRR1554402 94	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|127	SRA Sample ERR1018206 101	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|25	SRA Sample ERR209824 20	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|10	SRA Sample ERR210122 1	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|99	SRA Sample ERR1018206 73	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Bogota|20160127|Colombia|1	2.Colombia.Bogota.27-01-2016	20160127	4.710988599999999,-74.072092		4.710988599999999	-74.072092				Colombia	Bogota																			crAssphage_A 1-1331 (100%) aligns to NODE_25_length_59693_cov_16.6043 23258-24588 with 96.769% identity	
Lanzhou_Shi|20120101|China|423	SRA Sample ERR589821 29	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|537	SRA Sample ERR589821 143	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|180	SRA Sample ERR414263 27	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Baltimore|20140623|USA|15	SRA Sample SRR4435731 15	20140623	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Montreal|20100416|Canada|30	SRA Sample SRR2566059 30	20100416	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
