#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	address	altitude	sample_number	location	type	note	sex	site	yearmonth	source	volunteer	sampletype	sampleid	notes	sample_date	method	lat_lon
Lanzhou_Shi_20110101_China_290	SRA Sample ERR527107 280	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20120101_China_305	SRA Sample ERR1018206 241	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20140101_China_171	SRA Sample ERR1190662 1	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_512	SRA Sample SRR4074260 510	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_419	SRA Sample ERR414263 31	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_187	SRA Sample ERR321523 20	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_805	SRA Sample ERR527135 267	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_173	SRA Sample SRR4074260 171	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Niederdorla_20120601_Germany_8	SRA Sample ERR748478 1	20120601		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_47	SRA Sample SRR3160438 47	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Warszawa_20160126_Poland_2	Decewicz Dziewit Primer A Warsaw 20160126	20160126		52.351351,20.959269	52.351351	20.959269	Warszawa	Poland	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland																
Roma_20130101_Italy_288	SRA Sample SRR4074260 286	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Niederdorla_20100201_Germany_26	SRA Sample SRR2155368 24	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_317	SRA Sample ERR321572 30	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Edmonton_20130101_Canada_1	SRA Sample SRR2082449 1	20130101		53.520710,-113.524239	53.520710	-113.524239	Edmonton	Canada																haplotype called by gretel version 0.0.8	53.520710 N 113.524239 W
