#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Kjellerup|20090101|Denmark|166	SRA Sample ERR525890 23	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|165	SRA Sample ERR525890 22	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|94	SRA Sample SRR3160438 94	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|95	SRA Sample SRR3160438 95	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|96	SRA Sample SRR3160438 96	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|97	SRA Sample SRR3160438 97	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|90	SRA Sample SRR3160438 90	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|91	SRA Sample SRR3160438 91	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|92	SRA Sample SRR3160438 92	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|93	SRA Sample SRR3160438 93	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|98	SRA Sample SRR3160438 98	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Dallas|20140616|USA|99	SRA Sample SRR3160438 99	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Atlanta_GA|20160202|USA|1	74.USA.Atlanta_GA.02-02-2016	20160202	33.7489954,-84.3879824		33.7489954	-84.3879824				USA	Atlanta_GA																			crAssphage_C 1-1238 (100%) aligns to NODE_23_length_37397_cov_19.892 20468-21705 with 97.092% identity	
Blacksburg|20140929|USA|2	Daycare study sample AP-DNA-10	20140929	37.2284, -80.4234		37.2284	-80.4234				USA	Blacksburg		Virginia Polytechnic Institute, Blacksburg, VA 24061, USA							haplotype called by gretel version 0.0.8											
Blacksburg|20140929|USA|1	Daycare study sample AP-DNA-10	20140929	37.2284, -80.4234		37.2284	-80.4234				USA	Blacksburg		Virginia Polytechnic Institute, Blacksburg, VA 24061, USA							haplotype called by gretel version 0.0.8											
San_Marcos|20161101|USA|1	San_Marcos Primer C Site 4 20161101	20161101	33.144526,-117.178849	C	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University			201611						4						
Warszawa|20160303|Poland|1	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw															
Warszawa|20160303|Poland|2	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw															
Warszawa|20160303|Poland|3	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw															
