Country	PrimerA	PrimerB	PrimerC
Albania	1	1	1
Argentina	0	4	0
Australia	58	15	21
Austria	0	0	1
Azerbaijan	18	10	16
Belgium	1	0	1
Botswana	0	1	1
Brazil	2	2	2
Bulgaria	1	1	1
Canada	282	149	188
China	1039	914	415
Colombia	3	3	3
Cote_dIvoire	1	1	1
Croatia	1	1	1
Czech_Republic	17	18	14
Denmark	243	137	307
Ecuador	1	1	1
Ethiopia	1	1	1
Finland	27	5	11
France	45	41	48
Gambia	1	1	1
Germany	71	27	35
Hong Kong	14	11	25
Hungary	1	1	0
Iceland	1	1	0
India	1	1	0
Iran	1	1	1
Ireland	2	2	2
Israel	4	5	5
Italy	20	54	34
Japan	3	0	0
Jordan	10	8	10
Kazakhstan	1	1	1
Kenya	1	1	1
Kosova	1	1	1
Latvia	1	1	1
Luxembourg	24	16	79
Macedonia	0	1	1
Malaysia	1	1	1
Malta	1	1	1
Mexico	1	0	2
Moldova	1	1	1
Mongolia	13	4	17
Nepal	1	1	1
New_Zealand	2	2	2
Nigeria	5	2	4
Norway	19	16	15
Pakistan	1	1	1
Peru	9	1	1
Poland	32	30	27
Portugal	6	3	7
Russia	6	5	7
Senegal	0	1	1
Serbia	0	1	1
Singapore	3	1	3
Slovakia	0	1	1
Slovenia	0	1	1
South_Africa	1	1	1
Spain	124	68	108
Sri_Lanka	1	1	1
Sudan	14	11	14
Sweden	2	1	1
Switzerland	1	1	1
The_Netherlands	2	1	1
Turkey	0	1	0
USA	274	294	316
United States	3	3	3
Zambia	2	2	2
