sampleid	Brouns_A.20151106	CazaresVinuesa_20160516	Cho_A.20160208	Cinek_bin08_primerA.20151120	Cinek_bin11_primerA.20151120	Cinek_bin12_primerA.20151120	Cinek_bin13_primerA.20151120	Cinek_bin14_primerA.20151120	Cinek_bin15_primerA.20151120	Cinek_bin16_primerA.20151120	Cinek_bin55_primerA.20151120	Cinek_bin56_primerA.20151120	Cinek_bin71_primerA.20151120	Cinek_bin79_primerA.20151120	Decewicz_Dziewit_Lodz_Aseq1.20160126	Decewicz_Dziewit_Lodz_Aseq1.20160303	Decewicz_Dziewit_Lodz_Aseq2.20160126	Decewicz_Dziewit_Lodz_Aseq2.20160303	Decewicz_Dziewit_Lodz_Aseq3.20160303	Decewicz_Dziewit_Lodz_Aseq4.20160303	Decewicz_Dziewit_Lodz_Aseq5.20160303	Decewicz_Dziewit_Oswiecim_Aseq1.20160126	Decewicz_Dziewit_Oswiecim_Aseq1.20160303	Decewicz_Dziewit_Oswiecim_Aseq2.20160126	Decewicz_Dziewit_Oswiecim_Aseq2.20160303	Decewicz_Dziewit_Oswiecim_Aseq3.20160303	Decewicz_Dziewit_Oswiecim_Aseq4.20160303	Decewicz_Dziewit_Oswiecim_Aseq5.20160303	Decewicz_Dziewit_Warsaw_Aseq1.20160126	Decewicz_Dziewit_Warsaw_Aseq1.20160303	Decewicz_Dziewit_Warsaw_Aseq2.20160126	Decewicz_Dziewit_Warsaw_Aseq2.20160303	Decewicz_Dziewit_Warsaw_Aseq3.20160126	Decewicz_Dziewit_Warsaw_Aseq3.20160303	Decewicz_Dziewit_Warsaw_Aseq4.20160126	Decewicz_Dziewit_Warsaw_Aseq4.20160303	Decewicz_Dziewit_Warsaw_Aseq5.20160303	Decewicz_Dziewit_Wyszkow_Aseq1.20160126	Decewicz_Dziewit_Wyszkow_Aseq1.20160303	Decewicz_Dziewit_Wyszkow_Aseq2.20160126	Decewicz_Dziewit_Wyszkow_Aseq2.20160303	Decewicz_Dziewit_Wyszkow_Aseq3.20160126	Decewicz_Dziewit_Wyszkow_Aseq3.20160303	Decewicz_Dziewit_Wyszkow_Aseq4.20160303	Decewicz_Dziewit_Wyszkow_Aseq5.20160303	DiazMunoz_Davis1_A	DiazMunoz_Davis3_A	DiazMunoz_NYC_A	Edwards_A.20151002.S1	Edwards_A.20151002.S2	Edwards_A.20151002.S3	Edwards_A.20151002.S4	Edwards_A.20151209.S1	Edwards_A.20151209.S2	Edwards_A.20151209.S3	Edwards_A.20151209.S4	Fineran_Dunedin_	Fineran_Greymouth_A	Lavigne.PrimerA.20160126	Mazankova_primerA_10.20151201	Mazankova_primerA_11.20151201	Mazankova_primerA_12.20151201	Mazankova_primerA_13.20151201	Mazankova_primerA_14.20151201	Mazankova_primerA_16.20151201	Mazankova_primerA_18.20151201	Mazankova_primerA_19.20151201	Mazankova_primerA_2.20151201	Mazankova_primerA_20.20151201	Mazankova_primerA_22.20151201	Mazankova_primerA_23.20151201	Mazankova_primerA_3.20151201	Mazankova_primerA_4.20151201	Mazankova_primerA_5.20151201	Mazankova_primerA_6.20151201	Mazankova_primerA_7.20151201	Mazankova_primerA_9.20151201	Muniesa_1.1_Gav_primerA.201510	Muniesa_E13_Gav_primerA.201405	Muniesa_E14_ElPratdeLlobregat_primerA.201401	Muniesa_E1_Gav_primerA.201510	Muniesa_E23_Gav_primerA.201406	Muniesa_E2_Gav_primerA.201510	Muniesa_E32_Girona_primerA.201505	Muniesa_E4_Gav_primerA.201311	Muniesa_E7_Gav_primerA.201401	Muniesa_E8_ElPratdeLlobregat_primerA.201401	Nigro_A.20161212.SandIsland	Nigro_A.20161212.Waianae	Qimron_Jericho_A_20151202	Qimron_Qalqilyah_A_20151202	Qimron_Ramallah_A_20151202	Qimron_Salfit_A_20151202	Santos_A1.20160225	Santos_A10.20160225	Santos_A2.20160225	Santos_A9.20160225	Strain_primerA.20151215	Tyakht_Nov_282_A	Tyakht_Nov_287_A	Tyakht_OM_178_A	Tyakht_Spb_105_45P_A	Tyakht_Spb_73_13P_A	Tyakht_Spb_74_14P_A	Wagemans_A.20160412	Zambrano_A.20160412.1	Zambrano_A.20160412.s2	crAssphage_A
Brouns_A.20151106	0	9352.35482154	392.330430905	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	8170.49333438	8170.49333438	5167.12872838	8426.674857	8443.47134193	8437.13532898	8426.7547043	8426.674857	8443.47134193	8437.13532898	8426.7547043	9011.66683726	9394.4218425	163.322035175	920.50600334	900.531944256	824.255058659	586.279646846	699.277377605	641.614013221	900.531944256	804.737125528	804.992514715	751.144874164	824.255058659	630.472631963	585.89211167	699.277377605	900.531944256	586.279646846	751.144874164	636.135563739	1246.47248868	1246.47248868	1242.69022073	1246.47248868	1246.47248868	1246.47248868	1233.33562973	1246.47248868	1246.47248868	1242.69022073	11697.5633532	11687.9705685	3283.70322782	3226.95050389	3264.27511526	3247.87076448	1516.36777893	1516.36777893	1516.36777893	1516.36777893	177.292713006	4808.20858585	4808.20858585	4260.52810229	1707.26880108	1707.26880108	1707.26880108	170.420070091	8123.02788909	8123.02788909	5830.63238215
CazaresVinuesa_20160516	9352.35482154	0	9655.31750688	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	12343.5352107	12343.5352107	13361.3669376	13073.9938234	13072.2518598	13060.8452809	13066.8386414	13073.9938234	13072.2518598	13060.8452809	13066.8386414	8541.7627719	8583.75208911	9321.49810619	10257.9803751	10235.4076339	10175.3283549	9938.49855725	10049.960899	9983.32821332	10235.4076339	10156.0006874	10156.2451123	10092.9923542	10175.3283549	9980.60808494	9929.86311309	10049.960899	10235.4076339	9938.49855725	10092.9923542	9985.93320643	9533.16543874	9533.16543874	9539.94882586	9533.16543874	9533.16543874	9533.16543874	9543.80435593	9533.16543874	9533.16543874	9539.94882586	6099.52789915	6129.01956576	12597.7999752	12539.6418319	12576.0018047	12561.7231159	10209.3611721	10209.3611721	10209.3611721	10209.3611721	9524.46932225	11804.0568459	11804.0568459	11837.7604398	10176.196698	10176.196698	10176.196698	9324.73523886	17307.7918826	17307.7918826	10981.0432146
Cho_A.20160208	392.330430905	9655.31750688	0	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	795.909057566	795.909057566	795.909057566	795.909057566	795.909057566	795.909057566	795.909057566	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	8279.11551891	8279.11551891	5089.4404558	8492.03193012	8509.18075521	8503.4905263	8492.57503604	8492.03193012	8509.18075521	8503.4905263	8492.57503604	9321.58975946	9703.59353789	345.350790914	731.721679402	720.139377802	598.345656307	369.4534545	443.151612396	491.820036805	720.139377802	579.574024536	579.894341898	576.565450308	598.345656307	444.458480646	443.901605253	443.151612396	720.139377802	369.4534545	576.565450308	451.173547029	993.5818722	993.5818722	987.935644913	993.5818722	993.5818722	993.5818722	977.464692423	993.5818722	993.5818722	987.935644913	12081.8009149	12071.7561375	2953.50624629	2895.95375232	2932.99420619	2917.44921514	1145.1945184	1145.1945184	1145.1945184	1145.1945184	320.116604072	4877.60296804	4877.60296804	4298.88115538	1822.92232516	1822.92232516	1822.92232516	340.289957803	7863.09673316	7863.09673316	5511.12265975
Cinek_bin08_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin11_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin12_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin13_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin14_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin15_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
Cinek_bin16_primerA.20151120	1493.16491228	9771.59880014	1689.16336247	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	6694.00018758	6694.00018758	4050.05660078	6985.77169257	7002.12703543	6995.14205066	6985.36423421	6985.77169257	7002.12703543	6995.14205066	6985.36423421	7705.8233265	8084.54223454	1655.96685731	1361.40732078	1342.51157215	1448.08808565	1458.69038659	1510.89911249	1336.87757151	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	2724.52200144	2724.52200144	2724.52200144	2724.52200144	1413.64364189	3387.66319008	3387.66319008	2900.70842222	409.106077587	409.106077587	409.106077587	1662.63770093	7558.53569848	7558.53569848	7132.25045765
