#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Lisboa|20160225|Portugal|4	Santos Primer A4	20160225	38.7348396,-9.1863262	A	38.7348396	-9.1863262				Portugal	Lisboa	Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049001 Lisboa		Ricardo Santos	Instituto Superior Tecnico											
Lisboa|20160225|Portugal|5	Santos Primer A5	20160225	38.7348396,-9.1863262	A	38.7348396	-9.1863262				Portugal	Lisboa	Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049001 Lisboa		Ricardo Santos	Instituto Superior Tecnico											
Zerdab|20030629|Azerbaijan|1	Cinek lab sample 321 A 20030629	20030629	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		f	Assembly of 4 reads: 321_A_intf.ab1 (reversed), 321_A_r.ab1, 321_A_intr.ab1, 321_A_f.ab1 (reversed)								
Ceske_Budejovice|20151201|Czech_Republic|2	Cinek primer A sample 14 20151201	20151201	48.9744694,14.4743417	A	48.9744694	14.4743417	522	Plzen	pre-sewage treatment plant	Czech_Republic	Ceske Budejovice			Ondrej Cinek	Univerzita Karlova											
Laguna_Niguel|20170403|USA|1	BibbyS3_20170403	20170403	33.5408776,-117.7063134	A	33.5408776	-117.7063134				USA	Laguna Niguel	Regional Treatment Plant, 29201 La Paz Rd, Laguna Niguel, CA 92629														
Davis|20160421|United_States|2	DiazMunoz_Davis3_A	20160421	38.590894,-121.666779	A	38.590894	-121.666779				United States	Davis	City of Davis WWTP, 45452 Co Rd 28H, California 95776, USA	8.659m													
Khartoum|20160303|Sudan|2	Cinek primer A sample 252 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	252			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160303										
Jericho|20151202|Israel|1	Qimron lab primer A 20151202	20151202	31.85,35.45	A	31.85	35.45				Israel	Jericho			Udi Qimron	Tel Aviv University			Collected in Jericho								
Zerdab|20120810|Azerbaijan|1	Cinek lab sample 328 A 20120810	20120810	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 328_A_intf.ab1 (reversed), 328_A_r.ab1, 328_A_intr.ab1, 328_A_f.ab1 (reversed)								
Rybienko_Stare|20160303|Poland|2	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948,21.429024	A	52.577948	21.429024				Poland	Rybienko Stare	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw											
Oslo|20060131|Norway|1	Cinek.Norway.amplicons.T9717_A	20060131	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060131			200601	Sanger						
Rybienko_Stare|20160303|Poland|4	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948,21.429024	A	52.577948	21.429024				Poland	Rybienko Stare	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw											
