sampleid	Brouns_B.20151106	Cinek_bin11_primerB.20151120	Cinek_bin13_primerB.20151120	Cinek_bin14_primerB.20151120	Cinek_bin15_primerB.20151120	Cinek_bin16_primerB.20151120	Cinek_bin57_primerB.20151120	Decewicz_Dziewit_Lodz_Bseq1.20160126	Decewicz_Dziewit_Lodz_Bseq1.20160303	Decewicz_Dziewit_Lodz_Bseq2.20160303	Decewicz_Dziewit_Lodz_Bseq3.20160303	Decewicz_Dziewit_Lodz_Bseq4.20160303	Decewicz_Dziewit_Lodz_Bseq5.20160303	Decewicz_Dziewit_Oswiecim_Bseq1.20160126	Decewicz_Dziewit_Oswiecim_Bseq1.20160303	Decewicz_Dziewit_Oswiecim_Bseq2.20160126	Decewicz_Dziewit_Oswiecim_Bseq2.20160303	Decewicz_Dziewit_Oswiecim_Bseq3.20160126	Decewicz_Dziewit_Oswiecim_Bseq3.20160303	Decewicz_Dziewit_Oswiecim_Bseq4.20160126	Decewicz_Dziewit_Oswiecim_Bseq4.20160303	Decewicz_Dziewit_Oswiecim_Bseq5.20160303	Decewicz_Dziewit_Warsaw_Bseq1.20160126	Decewicz_Dziewit_Warsaw_Bseq1.20160303	Decewicz_Dziewit_Warsaw_Bseq2.20160303	Decewicz_Dziewit_Warsaw_Bseq3.20160303	Decewicz_Dziewit_Wyszkow_Bseq1.20160126	Decewicz_Dziewit_Wyszkow_Bseq1.20160303	Decewicz_Dziewit_Wyszkow_Bseq2.20160126	Decewicz_Dziewit_Wyszkow_Bseq2.20160303	Decewicz_Dziewit_Wyszkow_Bseq3.20160126	Decewicz_Dziewit_Wyszkow_Bseq3.20160303	Decewicz_Dziewit_Wyszkow_Bseq4.20160126	Decewicz_Dziewit_Wyszkow_Bseq4.20160303	Decewicz_Dziewit_Wyszkow_Bseq5.20160126	Decewicz_Dziewit_Wyszkow_Bseq5.20160303	Desnues_sewage27_primerB.20151217	DiazMunoz_Davis1_B	DiazMunoz_Davis3_B	DiazMunoz_NYC_B	Edwards_B.20151012.S1	Edwards_B.20151012.S2	Edwards_B.20151012.S3	Edwards_B.20151012.S4	Edwards_B.20151209.S1	Edwards_B.20151209.S2	Edwards_B.20151209.S3	Edwards_B.20151209.S4	Fineran_Dunedin_B	Fineran_Greymouth_B	Mazankova_primerB_1.20151201	Mazankova_primerB_10.20151201	Mazankova_primerB_12.20151201	Mazankova_primerB_13.20151201	Mazankova_primerB_14.20151201	Mazankova_primerB_15.20151201	Mazankova_primerB_16.20151201	Mazankova_primerB_17.20151201	Mazankova_primerB_18.20151201	Mazankova_primerB_19.20151201	Mazankova_primerB_2.20151201	Mazankova_primerB_23.20151201	Mazankova_primerB_3.20151201	Mazankova_primerB_4.20151201	Mazankova_primerB_5.20151201	Mazankova_primerB_6.20151201	Mazankova_primerB_9.20151201	Muniesa_1.1_Gav_primerB.201510	Muniesa_E13_Gav_primerB.201405	Muniesa_E14_ElPratdeLlobregat_primerB.201401	Muniesa_E1_Gav_primerB.201510	Muniesa_E23_Gav_primerB.201406	Muniesa_E2_Gav_primerB.201510	Muniesa_E32_Girona_primerB.201505	Muniesa_E4_Gav_primerB.201311	Muniesa_E7_Gav_primerB.201401	Muniesa_E8_ElPratdeLlobregat_primerB.201401	Nigro_B.20161212.SandIsland	Nigro_B.20161212.Waianae	Qimron_Jericho_B_20151202	Qimron_Qalqilyah_B_20151202	Qimron_Ramallah_B_20151202	Qimron_Salfit_B_20151202	Raya_B.20160414	Santos_B13.20160225	Santos_B21.20160225	Santos_B24.20160225	Strain_primerB.20151215	Tyakht_Nov_282_B	Tyakht_Nov_285_B	Tyakht_Nov_287_B	Tyakht_OM_178_B	Tyakht_SAR_275_B	Zambrano_B.20160412.s1	crAssphage_B
Brouns_B.20151106	0	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	989.877915466	8726.04033754	8726.04033754	5938.79887363	9043.06299932	9059.28069235	9052.11193963	9042.51794498	9043.06299932	9059.28069235	9052.11193963	9042.51794498	18699.5502653	18473.6442894	586.279646846	920.50600334	824.255058659	586.279646846	699.277377605	804.737125528	641.614013221	585.89211167	900.531944256	804.737125528	804.992514715	630.472631963	585.89211167	699.277377605	900.531944256	586.279646846	636.135563739	1246.47248868	1246.47248868	1242.69022073	1246.47248868	1246.47248868	1246.47248868	1233.33562973	1246.47248868	1246.47248868	1242.69022073	11697.5633532	11687.9705685	3283.70322782	3226.95050389	3264.27511526	3247.87076448	11492.6656148	1897.51233619	1897.51233619	1897.51233619	987.217308067	4808.20858585	4808.20858585	4808.20858585	4260.52810229	2724.42047528	8921.3742808	5830.63238215
Cinek_bin11_primerB.20151120	1493.16491228	0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Cinek_bin13_primerB.20151120	1493.16491228	0.0	0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Cinek_bin14_primerB.20151120	1493.16491228	0.0	0.0	0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Cinek_bin15_primerB.20151120	1493.16491228	0.0	0.0	0.0	0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Cinek_bin16_primerB.20151120	1493.16491228	0.0	0.0	0.0	0.0	0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Cinek_bin57_primerB.20151120	1493.16491228	0.0	0.0	0.0	0.0	0.0	0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1458.69038659	1361.40732078	1448.08808565	1458.69038659	1510.89911249	1446.73479892	1336.87757151	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1399.3103834	1346.84991595	1510.89911249	1342.51157215	1458.69038659	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	12958.2415666	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	3387.66319008	2900.70842222	1758.58150911	9971.77289366	7132.25045765
Decewicz_Dziewit_Lodz_Bseq1.20160126	918.618159558	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	0	0.0	0.0	0.0	0.0	0.0	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	130.254035935	130.254035935	130.254035935	130.254035935	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	1402.56237273	9286.56377989	9286.56377989	6786.41923846	9674.7939136	9690.12754165	9681.99134505	9673.4746027	9674.7939136	9690.12754165	9681.99134505	9673.4746027	17827.0486308	17669.4476351	474.22290505	241.020834053	348.00610742	474.22290505	461.803339847	352.991510751	341.497951798	388.405745358	223.521043281	352.991510751	352.757015257	396.313893121	388.405745358	461.803339847	223.521043281	474.22290505	390.051831165	1755.61323684	1755.61323684	1748.58040486	1755.61323684	1755.61323684	1755.61323684	1737.76281878	1755.61323684	1755.61323684	1748.58040486	11893.13232	11878.622064	2570.12257422	2517.3618233	2554.41933505	2535.9787318	12208.1036238	2635.39922465	2635.39922465	2635.39922465	1903.19002887	4066.12407984	4066.12407984	4066.12407984	3475.69051042	1834.77676423	9838.83802331	6032.90871416
Decewicz_Dziewit_Lodz_Bseq1.20160303	918.618159558	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	0.0	0	0.0	0.0	0.0	0.0	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	130.254035935	130.254035935	130.254035935	130.254035935	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	1402.56237273	9286.56377989	9286.56377989	6786.41923846	9674.7939136	9690.12754165	9681.99134505	9673.4746027	9674.7939136	9690.12754165	9681.99134505	9673.4746027	17827.0486308	17669.4476351	474.22290505	241.020834053	348.00610742	474.22290505	461.803339847	352.991510751	341.497951798	388.405745358	223.521043281	352.991510751	352.757015257	396.313893121	388.405745358	461.803339847	223.521043281	474.22290505	390.051831165	1755.61323684	1755.61323684	1748.58040486	1755.61323684	1755.61323684	1755.61323684	1737.76281878	1755.61323684	1755.61323684	1748.58040486	11893.13232	11878.622064	2570.12257422	2517.3618233	2554.41933505	2535.9787318	12208.1036238	2635.39922465	2635.39922465	2635.39922465	1903.19002887	4066.12407984	4066.12407984	4066.12407984	3475.69051042	1834.77676423	9838.83802331	6032.90871416
Decewicz_Dziewit_Lodz_Bseq2.20160303	918.618159558	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	0.0	0.0	0	0.0	0.0	0.0	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	187.973539873	130.254035935	130.254035935	130.254035935	130.254035935	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	1402.56237273	9286.56377989	9286.56377989	6786.41923846	9674.7939136	9690.12754165	9681.99134505	9673.4746027	9674.7939136	9690.12754165	9681.99134505	9673.4746027	17827.0486308	17669.4476351	474.22290505	241.020834053	348.00610742	474.22290505	461.803339847	352.991510751	341.497951798	388.405745358	223.521043281	352.991510751	352.757015257	396.313893121	388.405745358	461.803339847	223.521043281	474.22290505	390.051831165	1755.61323684	1755.61323684	1748.58040486	1755.61323684	1755.61323684	1755.61323684	1737.76281878	1755.61323684	1755.61323684	1748.58040486	11893.13232	11878.622064	2570.12257422	2517.3618233	2554.41933505	2535.9787318	12208.1036238	2635.39922465	2635.39922465	2635.39922465	1903.19002887	4066.12407984	4066.12407984	4066.12407984	3475.69051042	1834.77676423	9838.83802331	6032.90871416
