#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Khartoum|20160303|Sudan|1	Cinek primer B sample 260 20170421	20170421	15.5007,32.5599	B	15.5007	32.5599	260			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160303									
Zerdab|20030629|Azerbaijan|1	Cinek lab sample 321 B 20030629	20030629	40.143105,47.576927	B	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 321_B_intf.ab1 (reversed), 321_B_r.ab1, 321_B_f.ab1 (reversed), 321_B_intr.ab1			Ondrej Cinek	Univerzita Karlova		f								
Encinitas|20160301|USA|1	Cardiff Primer B Site 2 20160301	20160301	33.016467,-117.273686	B	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201603						2	
Carlsbad|20160901|USA|1	Carlsbad Primer B Site 3 20160901	20160901	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201609						3	
Barcelona|20150501|Spain|1	Muniesa E32 Girona primer B Raw Sewage	20150501	41.3942867,2.1701905	B	41.3942867	2.1701905				Spain	Barcelona				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Oswiecim|20160303|Poland|1	Decewicz Dziewit Primer B Oswiecim 20160303	20160303	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Prague|20151201|Czech_Republic|2	Cinek primer B sample 23 20151201	20151201	50.0751514,14.3406075	B	50.0751514	14.3406075	326	Brno - Modrice	pre-sewage treatment plant	Czech_Republic	Prague				Ondrej Cinek	Univerzita Karlova										
Oswiecim|20160303|Poland|5	Decewicz Dziewit Primer B 20160303	20160303	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
San_Marcos|20160901|USA|1	San_Marcos Primer B Site 4 20160901	20160901	33.144526,-117.178849	B	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University			201609						4	
Lisboa|20160225|Portugal|2	Santos Primer B21	20160225	38.7348396,-9.1863262	B	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
Rybienko_Stare|20160303|Poland|4	Decewicz Dziewit Primer B Wyszkow 20160303	20160303	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Zerdab|20060505|Azerbaijan|1	Cinek lab sample 351 B 20060505	20060505	40.143105,47.576927	B	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 2 reads: 351_B_intr.ab1 (reversed), 351_B_intf.ab1			Ondrej Cinek	Univerzita Karlova		m								
Warszawa|20160126|Poland|3	Decewicz Dziewit Primer B Warsaw 20160126	20160126	52.351351,20.959269	B	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Usti_nad_Labem|20151201|Czech_Republic|2	Cinek primer B sample 17 20151201	20151201	50.6604875,14.0406928	B	50.6604875	14.0406928	368	Jezova	post-STP, refugee camp	Czech_Republic	Usti nad Labem				Ondrej Cinek	Univerzita Karlova										
Apeldoorn|20151106|The_Netherlands|1	Brouns lab primer B 20151106	20151106	52.180646,5.9478529	B	52.180646	5.9478529				The_Netherlands	Apeldoorn		Albert Schweitzerlaan 31, 7334 DZ Apeldoorn, The_Netherlands	36m	Stan Brouns	Delft University of Technology										
Bogota|20160412|Colombia|1	Maria Reyes Primer B 20160412	20160412	4.6500014,-74.0589398	B	4.6500014	-74.0589398				Colombia	Bogota		CorpoGen, Cra. 5 #66A-34, Bogota, Colombia 		Alejandro Reyes	Universidad de los Andes					1					
Greymouth|20160317|New_Zealand|1	Fineran Primer B	20160317	-42.4921908,171.1071795	B	-42.4921908	171.1071795				New_Zealand	Greymouth		105 Tainui St, Greymouth 7805, New_Zealand		Peter Fineran	University of Otago										
Khartoum|20160203|Sudan|1	Cinek primer B sample 249 20170421	20170421	15.5007,32.5599	B	15.5007	32.5599	249			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160203									
Rybienko_Stare|20160126|Poland|4	Decewicz Dziewit Primer B Wyszkow 20160126	20160126	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
