sampleid	Brouns_C.20151106	CazaresVinuesa_PARAISO_C	CazaresVinuesa_TEMIXCO_C	Cho_C.20160208	Cinek_bin08_primerC.20151120	Cinek_bin11_primerC.20151120	Cinek_bin12_primerC.20151120	Cinek_bin13_primerC.20151120	Cinek_bin14_primerC.20151120	Cinek_bin15_primerC.20151120	Cinek_bin16_primerC.20151120	Cinek_bin55_primerC.20151120	Cinek_bin56_primerC.20151120	Cinek_bin79_primerC.20151120	Decewicz_Dziewit_Lodz_Cseq1.20160126	Decewicz_Dziewit_Lodz_Cseq1.20160303	Decewicz_Dziewit_Lodz_Cseq2.20160126	Decewicz_Dziewit_Lodz_Cseq2.20160303	Decewicz_Dziewit_Lodz_Cseq3.20160303	Decewicz_Dziewit_Lodz_Cseq4.20160303	Decewicz_Dziewit_Lodz_Cseq5.20160303	Decewicz_Dziewit_Oswiecim_Cseq1.20160126	Decewicz_Dziewit_Oswiecim_Cseq1.20160303	Decewicz_Dziewit_Oswiecim_Cseq2.20160303	Decewicz_Dziewit_Oswiecim_Cseq3.20160303	Decewicz_Dziewit_Oswiecim_Cseq4.20160303	Decewicz_Dziewit_Oswiecim_Cseq5.20160303	Decewicz_Dziewit_Warsaw_Cseq1.20160126	Decewicz_Dziewit_Warsaw_Cseq1.20160303	Decewicz_Dziewit_Warsaw_Cseq2.20160303	Decewicz_Dziewit_Warsaw_Cseq3.20160303	Decewicz_Dziewit_Warsaw_Cseq4.20160303	Decewicz_Dziewit_Warsaw_Cseq5.20160303	Decewicz_Dziewit_Wyszkow_Cseq1.20160126	Decewicz_Dziewit_Wyszkow_Cseq1.20160303	Decewicz_Dziewit_Wyszkow_Cseq2.20160126	Decewicz_Dziewit_Wyszkow_Cseq2.20160303	Decewicz_Dziewit_Wyszkow_Cseq3.20160303	Decewicz_Dziewit_Wyszkow_Cseq4.20160303	Decewicz_Dziewit_Wyszkow_Cseq5.20160303	Desnues_stool3_primerC.20151217	DiazMunoz_Davis1_C	DiazMunoz_Davis3_C	DiazMunoz_NYC_C	Edwards_C.20151012.S1	Edwards_C.20151012.S2	Edwards_C.20151012.S3	Edwards_C.20151012.S4	Edwards_C.20151209.S1	Edwards_C.20151209.S2	Edwards_C.20151209.S3	Edwards_C.20151209.S4	Fineran_Dunedin_C	Fineran_Greymouth_C	Lavigne.PrimerC.20160126	Mazankova_primerC_1.20151201	Mazankova_primerC_17.20151201	Mazankova_primerC_18.20151201	Mazankova_primerC_19.20151201	Mazankova_primerC_2.20151201	Mazankova_primerC_20.20151201	Mazankova_primerC_22.20151201	Mazankova_primerC_23.20151201	Mazankova_primerC_4.20151201	Mazankova_primerC_5.20151201	Mazankova_primerC_6.20151201	Mazankova_primerC_7.20151201	Mazankova_primerC_9.20151201	Muniesa_1.1_Gav_primerC.201510	Muniesa_E13_Gav_primerC.201405	Muniesa_E14_ElPratdeLlobregat_primerC.201401	Muniesa_E1_Gav_primerC.201510	Muniesa_E23_Gav_primerC.201406	Muniesa_E2_Gav_primerC.201510	Muniesa_E32_Girona_primerC.201505	Muniesa_E4_Gav_primerC.201311	Muniesa_E7_Gav_primerC.201401	Muniesa_E8_ElPratdeLlobregat_primerC.201401	Nigro_C.20161212.SandIsland	Nigro_C.20161212.Waianae	Qimron_Jericho_C_20151202	Qimron_Qalqilyah_C_20151202	Qimron_Ramallah_C_20151202	Qimron_Salfit_C_20151202	Quan_C.20160320.S1	Quan_C.20160320.S10	Quan_C.20160320.S11	Quan_C.20160320.S12	Quan_C.20160320.S13	Quan_C.20160320.S14	Quan_C.20160320.S15	Quan_C.20160320.S16	Quan_C.20160320.S17	Quan_C.20160320.S18	Quan_C.20160320.S19	Quan_C.20160320.S2	Quan_C.20160320.S3	Quan_C.20160320.S4	Quan_C.20160320.S5	Quan_C.20160320.S6	Quan_C.20160320.S7	Quan_C.20160320.S8	Quan_C.20160320.S9	Santos_C25.20160225	Santos_C27.20160225	Santos_C30.20160225	Santos_C32.20160225	Santos_C33.20160225	Santos_C35.20160225	Strain_primerC.20151215	Tyakht_Nov_282_C	Tyakht_Nov_287_C	Tyakht_OM_178_C	Tyakht_SAR_275_C	Tyakht_Spb_105_45P_C	Tyakht_Spb_73_13P_C	Tyakht_Spb_74_14P_C	Wagemans_C.20160412	Zambrano_C.20160412.s1	Zambrano_C.20160412.s2	crAssphage_C
Brouns_C.20151106	0	9352.35482154	9350.49315304	392.330430905	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	1493.16491228	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	918.618159558	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	962.345094959	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1020.20381589	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	1050.05063527	989.877915466	8726.04033754	8726.04033754	5938.79887363	9043.06299932	9059.28069235	9052.11193963	9042.51794498	9043.06299932	9059.28069235	9052.11193963	9042.51794498	18699.5502653	18473.6442894	163.322035175	586.279646846	585.89211167	900.531944256	804.737125528	804.992514715	751.144874164	824.255058659	630.472631963	699.277377605	900.531944256	586.279646846	751.144874164	636.135563739	1246.47248868	1246.47248868	1242.69022073	1246.47248868	1246.47248868	1246.47248868	1233.33562973	1246.47248868	1246.47248868	1242.69022073	11697.5633532	11687.9705685	3283.70322782	3226.95050389	3264.27511526	3247.87076448	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	8829.02582469	1897.51233619	1897.51233619	1897.51233619	1897.51233619	1897.51233619	1897.51233619	987.217308067	4808.20858585	4808.20858585	4260.52810229	2724.42047528	1707.26880108	1707.26880108	1707.26880108	170.420070091	8921.3742808	8921.3742808	5830.63238215
CazaresVinuesa_PARAISO_C	9352.35482154	0	2.55617461962	9655.31750688	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	9771.59880014	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10182.425406	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10285.2410032	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10234.2463775	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	10245.7036138	9708.46311325	3085.42870558	3085.42870558	3417.98429918	2385.15313159	2391.0373843	2401.26848184	2392.56488243	2385.15313159	2391.0373843	2401.26848184	2392.56488243	11523.6914413	11385.3391906	9321.49810619	9938.49855725	9929.86311309	10235.4076339	10156.0006874	10156.2451123	10092.9923542	10175.3283549	9980.60808494	10049.960899	10235.4076339	9938.49855725	10092.9923542	9985.93320643	9533.16543874	9533.16543874	9539.94882586	9533.16543874	9533.16543874	9533.16543874	9543.80435593	9533.16543874	9533.16543874	9539.94882586	6099.52789915	6129.01956576	12597.7999752	12539.6418319	12576.0018047	12561.7231159	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	12951.5258641	8717.57047641	8717.57047641	8717.57047641	8717.57047641	8717.57047641	8717.57047641	8422.79730545	11804.0568459	11804.0568459	11837.7604398	11515.0983657	10176.196698	10176.196698	10176.196698	9324.73523886	3154.12466903	3154.12466903	10981.0432146
CazaresVinuesa_TEMIXCO_C	9350.49315304	2.55617461962	0	9653.52597951	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	9769.39263201	10180.4590253	10180.4590253	10180.4590253	10180.4590253	10180.4590253	10180.4590253	10180.4590253	10283.3155674	10283.3155674	10283.3155674	10283.3155674	10283.3155674	10283.3155674	10232.2497035	10232.2497035	10232.2497035	10232.2497035	10232.2497035	10232.2497035	10243.6972153	10243.6972153	10243.6972153	10243.6972153	10243.6972153	10243.6972153	10243.6972153	9706.87478048	3083.28847667	3083.28847667	3416.20712356	2383.13940437	2389.03511807	2399.26201427	2390.55130721	2383.13940437	2389.03511807	2399.26201427	2390.55130721	11525.2488377	11386.7775249	9319.68135953	9936.64034661	9927.97444874	10233.4980592	10154.1274972	10154.371863	10091.0965551	10173.4540577	9978.73190297	10048.11256	10233.4980592	9936.64034661	10091.0965551	9984.05589851	9531.67699736	9531.67699736	9538.45878198	9531.67699736	9531.67699736	9531.67699736	9542.31101075	9531.67699736	9531.67699736	9538.45878198	6098.65376912	6128.13619495	12596.0846039	12537.9276864	12574.2905154	12560.0072796	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	12949.3524119	8716.27435784	8716.27435784	8716.27435784	8716.27435784	8716.27435784	8716.27435784	8421.03115484	11801.5131979	11801.5131979	11835.2583004	11512.8466939	10173.9783495	10173.9783495	10173.9783495	9322.9207015	3155.5393491	3155.5393491	10981.2100481
Cho_C.20160208	392.330430905	9655.31750688	9653.52597951	0	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	1689.16336247	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	832.138237328	795.909057566	795.909057566	795.909057566	795.909057566	795.909057566	795.909057566	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	958.098793509	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	996.16868577	677.458793884	9109.82656686	9109.82656686	6237.44656638	9416.12432299	9432.48386205	9425.49907367	9415.72111355	9416.12432299	9432.48386205	9425.49907367	9415.72111355	18634.0793685	18500.6164544	345.350790914	369.4534545	443.901605253	720.139377802	579.574024536	579.894341898	576.565450308	598.345656307	444.458480646	443.151612396	720.139377802	369.4534545	576.565450308	451.173547029	993.5818722	993.5818722	987.935644913	993.5818722	993.5818722	993.5818722	977.464692423	993.5818722	993.5818722	987.935644913	12081.8009149	12071.7561375	2953.50624629	2895.95375232	2932.99420619	2917.44921514	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	8907.31256065	1807.86632427	1807.86632427	1807.86632427	1807.86632427	1807.86632427	1807.86632427	1235.56964976	4877.60296804	4877.60296804	4298.88115538	2661.50607	1822.92232516	1822.92232516	1822.92232516	340.289957803	9070.5952384	9070.5952384	5511.12265975
Cinek_bin08_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
Cinek_bin11_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
Cinek_bin12_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
Cinek_bin13_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
Cinek_bin14_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
Cinek_bin15_primerC.20151120	1493.16491228	9771.59880014	9769.39263201	1689.16336247	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1120.69237765	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1305.30975804	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	2361.97720696	8459.87550701	8459.87550701	6495.3973357	8923.55045595	8937.54530012	8928.33323521	8921.287002	8923.55045595	8937.54530012	8928.33323521	8921.287002	17274.9136604	16999.3948763	1655.96685731	1458.69038659	1346.84991595	1342.51157215	1446.73479892	1446.59074978	1350.11335791	1448.08808565	1399.3103834	1510.89911249	1342.51157215	1458.69038659	1350.11335791	1396.04047046	2681.37236236	2681.37236236	2675.97903901	2681.37236236	2681.37236236	2681.37236236	2665.61708392	2681.37236236	2681.37236236	2675.97903901	10808.8704312	10792.9061833	3404.24142186	3359.74690402	3394.18202738	3374.33377799	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	7373.99889237	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	3387.57713427	2211.95149564	3387.66319008	3387.66319008	2900.70842222	1758.58150911	409.106077587	409.106077587	409.106077587	1662.63770093	9971.77289366	9971.77289366	7132.25045765
