#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Prague|20151201|Czech_Republic|2	Cinek primerC sample 9 20151201	20151201	50.0835494,14.4341414	C	50.0835494	14.4341414	298	Usti n. Labem	pre-sewage treatment plant	Czech_Republic	Prague				Ondrej Cinek	Univerzita Karlova										
Oslo|20060131|Norway|1	Cinek.Norway.amplicons.T9717_C_partial	20060131	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060131		200601	Sanger						
Pilsen|20151201|Czech_Republic|1	Cinek primerC sample 1 20151201	20151201	49.7477831,13.3783489	C	49.7477831	13.3783489	456	Ceske Budejovice	pre-sewage treatment plant	Czech_Republic	Pilsen				Ondrej Cinek	Univerzita Karlova										
Oslo|20060501|Norway|1	Cinek.Norway.amplicons.T10995_C	20060501	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060501		200605	Sanger						
Oswiecim|20160303|Poland|1	Decewicz Dziewit Primer C Oswiecim 20160303	20160303	50.038062,19.321854	C	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Shanghai|20160320|China|7	Quan Clone 7 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	7	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Calera_Chica|20160516|Mexico|1	Vinuesa lab primer C 20160516	20160516	18.8310669,-99.2214482	C	18.8310669	-99.2214482				Mexico	Calera Chica	Collected in Morelos, Canal Paraiso			Pablo Vinuesa	Universidad Nacional Autonoma de Mexico										
Kostelec_nad_Orlici|20151201|Czech_Republic|2	Cinek primerC sample 20 20151201	20151201	50.1226675,16.2131856	C	50.1226675	16.2131856	375	Zastavka u Brna	post-STP, refugee camp	Czech_Republic	Kostelec nad Orlici				Ondrej Cinek	Univerzita Karlova										
Oswiecim|20160303|Poland|4	Decewicz Dziewit Primer C Oswiecim 20160303	20160303	50.038062,19.321854	C	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Qalqilya|20151202|Israel|1	Qimron lab primer C 20151202	20151202	32.18,34.97	C	32.18	34.97				Israel	Qalqilya	Collected in Qalqilyah			Udi Qimron	Tel Aviv University										
Encinitas|20160901|USA|1	Cardiff Primer C Site 2 20160901	20160901	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201609						2	
Escondido|20161101|USA|1	Escondido Primer C Site 1 20161101	20161101	33.105788,-117.114064	C	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University			201611						1	
Oswiecim|20160303|Poland|5	Decewicz Dziewit Primer C Oswiecim 20160303	20160303	50.038062,19.321854	C	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Gava|20140101|Spain|1	Muniesa E7 Gava primer C Raw Sewage	20140101	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Shanghai|20160320|China|16	Quan Clone 16 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	16	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Warszawa|20160303|Poland|4	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Encinitas|20160601|USA|1	Cardiff Primer C Site 2 20160601	20160601	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201606						2	
Oslo|20060504|Norway|1	Cinek.Norway.amplicons.T11039_C	20060504	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060504		200605	Sanger						
Oslo|20060206|Norway|1	Cinek.Norway.amplicons.T9785_C	20060206	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060206		200602	Sanger						
Karlsruhe|20160208|Germany|1	Gyu-Sung Cho Primer C 20160208	20160208	49.0151676,8.4008814	C	49.0151676	8.4008814				Germany	Karlsruhe		Max Rubner-Institut, Karlsruhe, Haid-und-Neu-StraBe 9, 76131		Gyu-Sung Cho	Max Rubner-Institut										
Shanghai|20160320|China|9	Quan Clone 9 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	9	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Lodz|20160303|Poland|1	Decewicz Dziewit Primer C Lodz 20160303	20160303	51.727940,19.347618	C	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Shanghai|20160320|China|10	Quan Clone 10 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	10	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Abuja|20170421|Nigeria|1	Cinek primer C sample 200 20170421	20170421	9.0765,7.3986	C	9.0765	7.3986	200			Nigeria	Abuja				Ondrej Cinek	Univerzita Karlova										
Gatchinskiy_rayon|20160301|Russia|1	Tyakht Spb_73_13P_C primer C	20160301	59.57,30.18	C	59.57	30.18				Russia	Gatchinskiy rayon		Saint-Petersburg, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine										
