#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	yearmonth	sampleid	sample_date	method
Oslo_20050701_Norway_1	Cinek.Norway.amplicons.T6374_A	20050701	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200507	T6374_A	20050701	Sanger
Oslo_20050630_Norway_1	Cinek.Norway.amplicons.T6376_A	20050630	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200506	T6376_A	20050630	Sanger
Oslo_20050702_Norway_1	Cinek.Norway.amplicons.T6384_A	20050702	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200507	T6384_A	20050702	Sanger
Oslo_20050923_Norway_1	Cinek.Norway.amplicons.T7596_A_partial	20050923	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7596_A_partial	20050923	Sanger
Oslo_20050926_Norway_1	Cinek.Norway.amplicons.T7664_A	20050926	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7664_A	20050926	Sanger
Oslo_20050926_Norway_2	Cinek.Norway.amplicons.T7667_A	20050926	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7667_A	20050926	Sanger
Oslo_20060129_Norway_1	Cinek.Norway.amplicons.T9676_A	20060129	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9676_A	20060129	Sanger
Oslo_20060129_Norway_2	Cinek.Norway.amplicons.T9681_A	20060129	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9681_A	20060129	Sanger
Oslo_20060201_Norway_1	Cinek.Norway.amplicons.T9713_A	20060201	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9713_A	20060201	Sanger
Oslo_20060131_Norway_1	Cinek.Norway.amplicons.T9717_A	20060131	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9717_A	20060131	Sanger
Oslo_20060201_Norway_2	Cinek.Norway.amplicons.T9743_A	20060201	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9743_A	20060201	Sanger
Oslo_20060206_Norway_1	Cinek.Norway.amplicons.T9785_A	20060206	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9785_A	20060206	Sanger
Oslo_20060501_Norway_1	Cinek.Norway.amplicons.T10995_A	20060501	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T10995_A	20060501	Sanger
Oslo_20060504_Norway_1	Cinek.Norway.amplicons.T11039_A	20060504	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11039_A	20060504	Sanger
Oslo_20060505_Norway_1	Cinek.Norway.amplicons.T11066_A	20060505	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11066_A	20060505	Sanger
Oslo_20060512_Norway_1	Cinek.Norway.amplicons.T11138_A	20060512	A	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11138_A	20060512	Sanger
