#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	yearmonth	sampleid	sample_date	method
Oslo_20050630_Norway_1	Cinek.Norway.amplicons.T6376_B	20050630	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200506	T6376_B	20050630	Sanger
Oslo_20050702_Norway_1	Cinek.Norway.amplicons.T6384_B_partial	20050702	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200507	T6384_B_partial	20050702	Sanger
Oslo_20050926_Norway_1	Cinek.Norway.amplicons.T7664_B	20050926	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7664_B	20050926	Sanger
Oslo_20050926_Norway_2	Cinek.Norway.amplicons.T7667_B	20050926	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7667_B	20050926	Sanger
Oslo_20060129_Norway_1	Cinek.Norway.amplicons.T9676_B	20060129	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9676_B	20060129	Sanger
Oslo_20060129_Norway_2	Cinek.Norway.amplicons.T9681_B	20060129	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9681_B	20060129	Sanger
Oslo_20060201_Norway_1	Cinek.Norway.amplicons.T9713_B	20060201	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9713_B	20060201	Sanger
Oslo_20060131_Norway_1	Cinek.Norway.amplicons.T9717_B	20060131	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9717_B	20060131	Sanger
Oslo_20060201_Norway_2	Cinek.Norway.amplicons.T9743_B	20060201	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9743_B	20060201	Sanger
Oslo_20060206_Norway_1	Cinek.Norway.amplicons.T9785_B	20060206	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9785_B	20060206	Sanger
Oslo_20060501_Norway_1	Cinek.Norway.amplicons.T10995_B	20060501	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T10995_B	20060501	Sanger
Oslo_20060504_Norway_1	Cinek.Norway.amplicons.T11039_B	20060504	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11039_B	20060504	Sanger
Oslo_20060505_Norway_1	Cinek.Norway.amplicons.T11066_B	20060505	B	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11066_B	20060505	Sanger
