#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	yearmonth	sampleid	sample_date	method	lat_lon
Oslo_20050630_Norway_1	Cinek.Norway.amplicons.T6376_C_partial	20050630	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200506	T6376_C_partial	20050630	Sanger	
Oslo_20050702_Norway_1	Cinek.Norway.amplicons.T6384_C	20050702	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200507	T6384_C	20050702	Sanger	
Oslo_20050926_Norway_1	Cinek.Norway.amplicons.T7664_C	20050926	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7664_C	20050926	Sanger	
Oslo_20050926_Norway_2	Cinek.Norway.amplicons.T7667_C	20050926	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200509	T7667_C	20050926	Sanger	
Oslo_20060129_Norway_1	Cinek.Norway.amplicons.T9676_C	20060129	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9676_C	20060129	Sanger	
Oslo_20060129_Norway_2	Cinek.Norway.amplicons.T9681_C	20060129	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9681_C	20060129	Sanger	
Oslo_20060201_Norway_1	Cinek.Norway.amplicons.T9713_C	20060201	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9713_C	20060201	Sanger	
Oslo_20060131_Norway_1	Cinek.Norway.amplicons.T9717_C_partial	20060131	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200601	T9717_C_partial	20060131	Sanger	
Oslo_20060201_Norway_2	Cinek.Norway.amplicons.T9743_C	20060201	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9743_C	20060201	Sanger	
Oslo_20060206_Norway_1	Cinek.Norway.amplicons.T9785_C	20060206	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200602	T9785_C	20060206	Sanger	
Oslo_20060501_Norway_1	Cinek.Norway.amplicons.T10995_C	20060501	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T10995_C	20060501	Sanger	
Oslo_20060504_Norway_1	Cinek.Norway.amplicons.T11039_C	20060504	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11039_C	20060504	Sanger	
Oslo_20060505_Norway_1	Cinek.Norway.amplicons.T11066_C	20060505	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11066_C	20060505	Sanger	
Oslo_20060512_Norway_1	Cinek.Norway.amplicons.T11138_C	20060512	C	59.9138688,10.7522454	59.9138688	10.7522454	Oslo	Norway	200605	T11138_C	20060512	Sanger	
