#Sequence ID	name	latitude	longitude	address	date	country	site	yearmonth
17	Decewicz Dziewit Primer C Warsaw 20160303	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160303	Poland	Warsaw	201603
16	Decewicz Dziewit Primer C Warsaw 20160303	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160303	Poland	Warsaw	201603
19	Decewicz Dziewit Primer C Warsaw 20160303	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160303	Poland	Warsaw	201603
8	Decewicz Dziewit Primer C Lodz 20160303	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160303	Poland	Lodz	201603
1	Decewicz Dziewit Primer C Lodz 20160126	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160126	Poland	Lodz	201601
18	Decewicz Dziewit Primer C Warsaw 20160303	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160303	Poland	Warsaw	201603
2	Decewicz Dziewit Primer C Warsaw 20160126	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160126	Poland	Warsaw	201601
3	Decewicz Dziewit Primer C Wyszkow 20160126	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160126	Poland	Warsaw	201601
0	Decewicz Dziewit Primer C Lodz 20160126	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160126	Poland	Lodz	201601
4	Decewicz Dziewit Primer C Wyszkow 20160126	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160126	Poland	Wyszkow	201601
21	Decewicz Dziewit Primer C Wyszkow 20160303	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603
20	Decewicz Dziewit Primer C Wyszkow 20160303	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603
10	Decewicz Dziewit Primer C Oswiecim 20160303	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603
5	Decewicz Dziewit Primer C Lodz 20160303	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160303	Poland	Lodz	201603
12	Decewicz Dziewit Primer C Oswiecim 20160303	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603
22	Decewicz Dziewit Primer C Wyszkow 20160303	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603
9	Decewicz Dziewit Primer C Lodz 20160303	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160303	Poland	Lodz	201603
23	Decewicz Dziewit Primer C Wyszkow 20160303	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603
6	Decewicz Dziewit Primer C Lodz 20160303	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160303	Poland	Lodz	201603
24	Decewicz Dziewit Primer C Wyszkow 20160303	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603
11	Decewicz Dziewit Primer C Oswiecim 20160303	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603
13	Decewicz Dziewit Primer C Oswiecim 20160303	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603
15	Decewicz Dziewit Primer C Warsaw 20160303	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland	20160303	Poland	Warsaw	201603
7	Decewicz Dziewit Primer C Lodz 20160303	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland	20160303	Poland	Lodz	201603
14	Decewicz Dziewit Primer C Oswiecim 20160303	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603
