SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
DRR002665	0	0	0	0	0	0
DRR014152	0	0	0	0	0	0
DRR014153	0	0	0	0	0.101695	0
DRR014154	0	0	0	0	0	0
DRR014172	0	0	0	0	0.101695	0
DRR014182	0	0	0	0	0.101695	0
DRR042278	0	0	0	0	0	0
DRR042292	0	0	0	0	0	0
DRR042326	0	0	0	0	0	0
DRR042330	0	0	0	0	0	0
DRR042358	0	0	0	0	0	0
DRR042359	0	0	0	0	0	0
DRR042363	0	0	0	0	0.775626	0
DRR042370	0	0	0	0	0	0
DRR042383	0	0	0.448708	0	0	0
DRR042388	0	0	0	0	0	0
DRR042412	0	0	0.865683	0	0.644875	0
DRR042415	0	0	0.287085	0	0.470541	0
DRR042470	0	0	0	0	0	0
DRR042485	0	0	0.100369	0	0	0
DRR042496	0	0	0	0	0	0
DRR042499	0	0	0.197048	0	0.911219	0
DRR042565	0	0	0	0	0	0
DRR042566	0	0	0.17048	0	0	0
DRR042567	0	0	0.0767528	0	0	0
DRR042569	0	0	0	0	0	0
DRR042588	0	0	0	0	0	0
DRR042607	0	0	0	0	0	0
DRR042609	0	0	0	0	0	0
DRR042629	0	0	0	0	2.07667	0
DRR042647	0	0	0	0	0	0
ERR011092	0	0	0	0	0	0
ERR011094	0	0	0	0	0	0
ERR011109	0	0	0	0	0	0
ERR011111	0	0	0	0	0	0
ERR011127	0	0	0	0	0	0
ERR011128	0	0	0	0	0	0
ERR011140	0	0	0	0	0	0
ERR011142	0	0	0	0	0	0
ERR011157	0	0	0	0	0	0
ERR011159	0	0	0	0	0	0
ERR011161	0	0	0	0	0	0
ERR011186	0	0	0	0	0	0
ERR011187	0	0	0	0	0	0
ERR011189	0	0	0	0	0	0
ERR011191	0	0	0	0	0	0
ERR011202	0	0	0	0	0	0
ERR011208	0	0	0	0	0	0
ERR011209	0	0	0	0	0	0
ERR011216	0	0	0	0	0	0
ERR011217	0	0	0	0	0	0
ERR011222	0	0	0	0	0	0
