Run ID	Country	Date	Lat Lon
SRR2107212	Argentina	12-Apr-13	34.82 S 58.17 W
ERR414233	Denmark	2008/2010	
ERR321297	Denmark	2008-2010	
ERR481039	Germany	2011/2013	
ERR209769	Spain	2008-2010	
ERR209593	Spain	2008-2010	
ERR210122	Denmark	2008-2010	
SRR1624844	USA	2012-04-11	38.984652 N 77.094709 W
SRR2565535	Canada	2009-11-20	45.50 N 73.63 W
SRR2183684	USA	04-25-2014	
ERR479247	France	2004/2006	
ERR748397	Germany	2011/2014	
ERR209616	Spain	2008-2010	
ERR480844	France	2004/2006	
SRR3501855	Singapore	2015-06-26	1.33 N 103.75 E
SRR3183613	USA	2014-01-16	38.984652 N 77.094709 W
ERR528734	China	2011	
ERR318676	USA	01/05/2006	
SRR2297849	Finland	2004-08-31	
ERR1190914	China	2014	
ERR748270	Germany	2011/2014	
ERR589509	China	2012	
ERR1018188	China	2012	
ERR414320	Denmark	2008/2010	
ERR1190693	China	2014	
ERR414342	Denmark	2008/2010	
SRR2566030	Canada	2010-02-22	45.50 N 73.63 W
SRR2043631	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR479385	France	2004/2006	
ERR479414	France	2004/2006	
ERR209563	Spain	2008-2010	
ERR748162	Germany	2011/2014	
ERR480590	France	2004/2006	
ERR209567	Spain	2008-2010	
ERR528322	China	2011	
ERR748386	Germany	2011/2014	
ERR479503	Germany	2011/2013	
ERR589585	China	2012	
SRR4481704	USA	2014-06-03	39.288462639338995 N 76.62594594061375 W
ERR480742	France	2004/2006	
ERR1018301	China	2012	
ERR209948	Denmark	2008-2010	
ERR209079	Denmark	2008-2010	
ERR209724	Spain	2008-2010	
ERR480916	Germany	2011/2013	
ERR1190609	China	2014	
ERR480592	France	2004/2006	
ERR480684	France	2004/2006	
ERR748297	Germany	2011/2014	
ERR748110	Germany	2011/2014	
ERR481023	Germany	2011/2013	
ERR479553	Germany	2011/2013	
ERR748425	Germany	2011/2014	
ERR1018206	China	2012	
ERR210373	Denmark	2008-2010	
ERR414766	Spain	2008/2010	
SRR3993050	China	Oct-2010	43.95 N 116.30 E
ERR748355	Germany	2011/2014	
ERR209108	Denmark	2008-2010	
SRR2183680	USA	05-28-2014	
ERR480692	France	2004/2006	
SRR2566062	Canada	2010-04-16	45.50 N 73.63 W
ERR527156	China	2011	
ERR209304	Denmark	2008-2010	
ERR321603	Denmark	2008-2010	
SRR3191666	USA	2014-02-27	38.984652 N 77.094709 W
ERR414325	Denmark	2008/2010	
ERR321115	Denmark	2008-2010	
SRR2566018	Canada	2010-02-05	45.50 N 73.63 W
ERR414351	Denmark	2008/2010	
ERR209855	Spain	2008-2010	
ERR748434	Germany	2011/2014	
ERR1578626	China	2013	
ERR210681	Spain	2008-2010	
ERR488521	USA	6/4/2009	
SRR3100151	Israel	2013-03-21	30.942444 N 35.367059 E
ERR481017	Germany	2011/2013	
ERR1018203	China	2012	
ERR321311	Denmark	2008-2010	
SRR2566057	Canada	2010-03-27	45.50 N 73.63 W
ERR210180	Denmark	2008-2010	
ERR478973	France	2004/2006	
ERR478971	France	2004/2006	
ERR414646	Spain	2008/2010	
ERR527189	China	2011	
ERR589770	China	2012	
SRR3501858	Singapore	2015-07-16	1.33 N 103.75 E
ERR321249	Denmark	2008-2010	
ERR589532	China	2012	
ERR527108	China	2011	
SRR2565836	Canada	2010-09-08	45.50 N 73.63 W
ERR210361	Denmark	2008-2010	
ERR589823	China	2012	
ERR480714	France	2004/2006	
ERR480719	France	2004/2006	
ERR1190623	China	2014	
SRR2940966	USA	2011-08-23	Not applicable
ERR1190650	China	2014	
ERR748380	Germany	2011/2014	
ERR527112	China	2011	
ERR589853	China	2012	
SRR1535312	China	2011	22.55 N 113.24 E
ERR1190687	China	2014	
ERR209293	Denmark	2008-2010	
SRR1624851	USA	2012-04-11	38.984652 N 77.094709 W
ERR210707	Spain	2008-2010	
ERR480710	France	2004/2006	
SRR4074264	Italy	2013	
ERR210267	Denmark	2008-2010	
SRR2043636	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR321553	Denmark	2008-2010	
ERR748155	Germany	2011/2014	
ERR480938	Germany	2011/2013	
ERR1190545	China	2014	
ERR589834	China	2012	
ERR480956	Germany	2011/2013	
ERR1578704	China	2013	
SRR2938481	El Salvador	14-Jan-2014	
ERR1578628	China	2013	
ERR748384	Germany	2011/2014	
SRR2298557	Finland	2000-04-12	
ERR209366	Denmark	2008-2010	
SRR2938426	El Salvador	07-Jan-2013	
ERR748443	Germany	2011/2014	
ERR321262	Denmark	2008-2010	
SRR2565949	Canada	2011-02-16	45.50 N 73.63 W
SRR2183670	USA	04-20-2014	
ERR748439	Germany	2011/2014	
ERR527081	China	2011	
SRR2938613	Peru	15-Jan-2013	
ERR210116	Denmark	2008-2010	
SRR4032582	USA	2013	29.77152983140313 N 95.22124444140628 W
ERR209904	Spain	2008-2010	
ERR748440	Germany	2011/2014	
ERR479155	France	2004/2006	
ERR480852	France	2004/2006	
ERR321248	Denmark	2008-2010	
ERR321590	Denmark	2008-2010	
ERR414529	Denmark	2008/2010	
ERR589443	China	2012	
ERR1190578	China	2014	
ERR414664	Spain	2008/2010	
SRR4074263	Italy	2013	
ERR1190588	China	2014	
ERR321278	Denmark	2008-2010	
ERR589806	China	2012	
ERR480862	France	2004/2006	
ERR527046	China	2011	
