#Sequence ID	name	method	country	date	latlon	latitude	longitude	locality	lat_lon
Kjellerup|20090101|Denmark|376	SRA Sample ERR321574 12	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20120101|China|426	SRA Sample ERR1018255 1	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|332	SRA Sample SRR4074260 330	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20110101|China|738	SRA Sample ERR527135 200	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20140101|China|170	SRA Sample ERR1190669 1	haplotype called by gretel version 0.0.8	China	20140101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Montreal|20100416|Canada|8	SRA Sample SRR2566059 8	haplotype called by gretel version 0.0.8	Canada	20100416	45.50,-73.63	45.50	-73.63	Montreal	45.50 N 73.63 W
Niederdorla|20100201|Germany|3	SRA Sample SRR2155368 1	haplotype called by gretel version 0.0.8	Germany	20100201	51.165691,10.451526	51.165691	10.451526	Niederdorla	
Jyvaskyla|20040831|Finland|1	SRA Sample SRR2297849 1	haplotype called by gretel version 0.0.8	Finland	20040831	61.92411,25.748151	61.92411	25.748151	Jyvaskyla	
Roma|20130101|Italy|520	SRA Sample SRR4074260 518	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Roma|20130101|Italy|376	SRA Sample SRR4074260 374	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20110101|China|1172	SRA Sample ERR527080 5	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20110101|China|598	SRA Sample ERR527135 60	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|53	SRA Sample SRR4074260 51	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Roma|20130101|Italy|60	SRA Sample SRR4074260 58	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Zhongshan_Shi|20120101|China|2	SRA Sample SRR1535348 1	haplotype called by gretel version 0.0.8	China	20120101	22.55,113.24	22.55	113.24	Zhongshan Shi	22.55 N 113.24 E
Roma|20130101|Italy|727	SRA Sample SRR4074260 725	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20120101|China|635	SRA Sample ERR589770 1	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20140101|China|139	SRA Sample ERR1190584 8	haplotype called by gretel version 0.0.8	China	20140101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|344	SRA Sample ERR1018206 280	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|295	SRA Sample ERR1018206 231	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Courtaboeuf_Cedex|20050101|France|50	SRA Sample ERR479386 3	haplotype called by gretel version 0.0.8	France	20050101	46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	
Baltimore|20140608|USA|6	SRA Sample SRR4435697 6	haplotype called by gretel version 0.0.8	USA	20140608	39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	39.288462639338995 N 76.62594594061375 W
Girona|20141125|Spain|1	SRA Sample SRR2097333 1	haplotype called by gretel version 0.0.8	Spain	20141125	42.025312,2.831897	42.025312	2.831897	Girona	42.025312 N 2.831897 E
Lanzhou_Shi|20110101|China|744	SRA Sample ERR527135 206	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|467	SRA Sample ERR589821 29	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20110101|China|758	SRA Sample ERR527135 220	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|260	SRA Sample SRR4074260 258	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Kjellerup|20090101|Denmark|174	SRA Sample ERR321523 7	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20110101|China|1120	SRA Sample ERR527135 582	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20110101|China|1150	SRA Sample ERR527135 612	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|530	SRA Sample ERR589824 14	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20110101|China|839	SRA Sample ERR527135 301	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Dallas|20140616|USA|42	SRA Sample SRR3160438 42	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Lanzhou_Shi|20110101|China|212	SRA Sample ERR527107 202	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|100	SRA Sample ERR1018206 36	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Courtaboeuf_Cedex|20050101|France|61	SRA Sample ERR479111 3	haplotype called by gretel version 0.0.8	France	20050101	46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	
Lanzhou_Shi|20120101|China|206	SRA Sample ERR1018206 142	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Kjellerup|20090101|Denmark|244	SRA Sample ERR321524 6	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20120101|China|407	SRA Sample ERR1018196 1	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20120101|China|637	SRA Sample ERR589770 3	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|23	SRA Sample SRR4074260 21	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20110101|China|563	SRA Sample ERR527135 25	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Kjellerup|20090101|Denmark|62	SRA Sample ERR321530 18	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
