#Sequence ID	name	method	country	date	latlon	latitude	longitude	locality	lat_lon
Unknown|00000000|Unknown|1438	SRA Sample SRR3160439 106	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1539	SRA Sample SRR3160439 207	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2502	SRA Sample SRR3160439 1170	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1663	SRA Sample SRR3160439 331	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3136	SRA Sample SRR1805011 241	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3249	SRA Sample SRR1805011 354	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3396	SRA Sample SRR1805011 501	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|1	SRA Sample SRR1554402 1	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|1958	SRA Sample SRR3160439 626	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|4730	SRA Sample SRR061149 104	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|46	SRA Sample SRR3160438 46	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|3955	SRA Sample SRR2674233 45	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3606	SRA Sample SRR1805011 711	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2686	SRA Sample SRR3160439 1354	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|4288	SRA Sample SRR1803358 226	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|4334	SRA Sample SRR1803358 272	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2648	SRA Sample SRR3160439 1316	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1935	SRA Sample SRR3160439 603	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|18	SRA Sample SRR3160438 18	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|3164	SRA Sample SRR1805011 269	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2726	SRA Sample SRR3160439 1394	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2715	SRA Sample SRR3160439 1383	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3780	SRA Sample SRR341639 41	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|721	SRA Sample SRR4408002 334	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1722	SRA Sample SRR3160439 390	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1868	SRA Sample SRR3160439 536	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|29	SRA Sample SRR1554402 29	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|565	SRA Sample SRR4408002 178	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|1	SRA Sample SRR3160438 1	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|1422	SRA Sample SRR3160439 90	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2848	SRA Sample SRR1804611 107	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|242	SRA Sample SRR341602 242	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|649	SRA Sample SRR4408002 262	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3360	SRA Sample SRR1805011 465	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|409	SRA Sample SRR4408002 22	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1159	SRA Sample SRR4305224 70	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|4195	SRA Sample SRR1803358 133	haplotype called by gretel version 0.0.8							
Lanzhou_Shi|20120101|China|51	SRA Sample ERR1018206 51	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Unknown|00000000|Unknown|3233	SRA Sample SRR1805011 338	haplotype called by gretel version 0.0.8							
Lanzhou_Shi|20120101|China|91	SRA Sample ERR1018206 91	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Unknown|00000000|Unknown|3646	SRA Sample SRR061934 10	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3512	SRA Sample SRR1805011 617	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|22	SRA Sample SRR1554402 22	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|224	SRA Sample SRR341602 224	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3946	SRA Sample SRR2674233 36	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3094	SRA Sample SRR1805011 199	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|663	SRA Sample SRR4408002 276	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|17	SRA Sample SRR1554402 17	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|3266	SRA Sample SRR1805011 371	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3230	SRA Sample SRR1805011 335	haplotype called by gretel version 0.0.8							
