#Sequence ID	name	method	country	date	lat_lon	latlon	latitude	longitude	locality
Roma|20130101|Italy|82	SRA Sample SRR4074260 76	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Courtaboeuf_Cedex|20050101|France|95	SRA Sample ERR479386 17	haplotype called by gretel version 0.0.8	France	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex
Roma|20130101|Italy|390	SRA Sample SRR4074260 384	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Courtaboeuf_Cedex|20050101|France|104	SRA Sample ERR479111 1	haplotype called by gretel version 0.0.8	France	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex
Lanzhou_Shi|20110101|China|74	SRA Sample ERR527107 63	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1050	SRA Sample SRR4074332 161	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|1117	SRA Sample SRR4074332 228	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|1284	SRA Sample SRR4074332 395	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|194	SRA Sample ERR1018206 64	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|702	SRA Sample ERR527107 691	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1190	SRA Sample SRR4074332 301	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Zhuhai_Shi|20140401|Hong_Kong|11	SRA Sample SRR2043641 11	haplotype called by gretel version 0.0.8	Hong_Kong	20140401	22.15 N 114.10 E	22.15,114.10	22.15	114.10	Zhuhai Shi
Roma|20130101|Italy|1092	SRA Sample SRR4074332 203	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
