#Sequence ID	name	method	country	date	latlon	latitude	longitude	locality	lat_lon
Unknown|00000000|Unknown|815	SRA Sample SRR3160439 400	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|496	SRA Sample SRR3160439 81	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1511	SRA Sample SRR3160439 1096	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|106	SRA Sample SRR4408002 90	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1652	SRA Sample SRR3160439 1237	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|307	SRA Sample SRR4408002 291	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|914	SRA Sample SRR3160439 499	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|76	SRA Sample SRR3160438 76	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|1800	SRA Sample SRR1804611 47	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1924	SRA Sample SRR1804611 171	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2703	SRA Sample SRR1803358 38	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1453	SRA Sample SRR3160439 1038	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2120	SRA Sample SRR1805011 163	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2945	SRA Sample SRR1803358 280	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2014	SRA Sample SRR1805011 57	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2292	SRA Sample SRR1805011 335	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2032	SRA Sample SRR1805011 75	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|889	SRA Sample SRR3160439 474	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|244	SRA Sample SRR4408002 228	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2493	SRA Sample SRR1805011 536	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|804	SRA Sample SRR3160439 389	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1369	SRA Sample SRR3160439 954	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1578	SRA Sample SRR3160439 1163	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1737	SRA Sample SRR3160439 1322	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2946	SRA Sample SRR1803358 281	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1291	SRA Sample SRR3160439 876	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3076	SRA Sample SRR1803358 411	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|985	SRA Sample SRR3160439 570	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|519	SRA Sample SRR3160439 104	haplotype called by gretel version 0.0.8							
