#Sequence ID	name	volunteer	sampletype	primer	sampleid	latlon	latitude	longitude	locality	country	note	date
San_Diego|20170722|USA|1	VolunteerD_20170722	D	Weekly	C	WD6	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, single read	20170722
San_Diego|20170707|USA|1	VolunteerD_20170707	D	Daily	C	DD10	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170707
San_Diego|20170719|USA|1	VolunteerE_20170719	E	Daily	C	DE13	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170719
San_Diego|20170421|USA|1	VolunteerD_20170421	D	Pre	C	D1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, single read	20170421
San_Diego|20170718|USA|1	VolunteerE_20170718	E	Daily	C	DE12	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170718
San_Diego|20170717|USA|1	VolunteerE_20170717	E	Daily	C	DE11	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170717
San_Diego|20170729|USA|1	VolunteerD_20170729	D	Weekly	C	WD7	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170729
San_Diego|20170721|USA|1	VolunteerE_20170721	E	Daily	C	DE15	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170721
San_Diego|20170731|USA|1	VolunteerE_20170731	E	Weekly	C	WE6	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170731
San_Diego|20170622|USA|1	VolunteerD_20170622	D	Daily	C	DD3	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170622
San_Diego|20170608|USA|1	VolunteerD_20170608	D	Weekly	C	WD2	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170608
San_Diego|20170421|USA|2	VolunteerE_20170421	E	Pre	C	E1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, single read	20170421
San_Diego|20170725|USA|1	VolunteerE_20170725	E	Weekly	C	WE7	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170725
San_Diego|20170713|USA|1	VolunteerE_20170713	E	Daily	C	DE9	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170713
San_Diego|20170720|USA|1	VolunteerE_20170720	E	Daily	C	DE14	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170720
San_Diego|20170601|USA|1	VolunteerD_20170601	D	Weekly	C	WD1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170601
San_Diego|20170629|USA|1	VolunteerD_20170629	D	Daily	C	DD5	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170629
San_Diego|20170710|USA|2	VolunteerE_20170710	E	Daily	C	DE6	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170710
San_Diego|20170711|USA|1	VolunteerE_20170711	E	Daily	C	DE7	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, single read	20170711
San_Diego|20170704|USA|1	VolunteerD_20170704	D	Daily	C	DD7	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170704
San_Diego|20170712|USA|1	VolunteerE_20170712	E	Daily	C	DE8	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170712
San_Diego|20170710|USA|1	VolunteerD_20170710	D	Daily	C	DD11	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170710
San_Diego|20170629|USA|2	VolunteerE_20170629	E	Weekly	C	WE5	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170629
San_Diego|20170714|USA|1	VolunteerE_20170714	E	Daily	C	DE10	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170714
