41.3275459	19.8186982	Tirana	Albania	Tirana	Albania
-34.6043888	-58.4404233	Buenos Aires	Argentina	Buenos Aires	Argentina
-35.3075	149.124417	Capital Hill	Australia	Capital Hill	Australia
-25.274398	133.775136	Ghan	Australia	Ghan	Australia
-33.9399228	151.1730824	Mascot	Australia	Mascot	Australia
-37.813611	144.963056	Melbourne	Australia	Melbourne	Australia
-32.0397544	115.6806686	North Fremantle	Australia	North Fremantle	Australia
-38.1122141	145.4864454	Pakenham	Australia	Pakenham	Australia
-27.3755791	153.1491078	Pinkenba	Australia	Pinkenba	Australia
-37.8274851	144.9527136	Southbank	Australia	Southbank	Australia
48.2081743	16.3738189	Wien	Austria	Wien	Austria
40.4093	49.8671	Bakı	Azerbaijan	Baki	Azerbaijan
40.143105	47.576927	Zərdab	Azerbaijan	Zərdab	Azerbaijan
50.9598476	4.6350655	Haacht	Belgium	Haacht	Belgium
50.884089	4.6353904	Herent	Belgium	Herent	Belgium
-24.6282079	25.9231471	Gaborone	Botswana	Gaborone	Botswana
-14.235004	-51.92528	Água Boa	Brazil	Agua Boa	Brazil
-19.9166813	-43.9344931	Belo Horizonte	Brazil	Belo Horizonte	Brazil
42.6977082	23.3218675	Sofia	Bulgaria	Sofia	Bulgaria
51.0486151	-114.0708459	Calgary	Canada	Calgary	Canada
56.130366	-106.346771	Division No. 18	Canada	Division No. 18	Canada
53.52071	-113.524239	Edmonton	Canada	Edmonton	Canada
45.5	-73.63	Montréal	Canada	Montreal	Canada
50.4452112	-104.6188943	Regina	Canada	Regina	Canada
43.653226	-79.3831843	Toronto	Canada	Toronto	Canada
23.12911	113.264385	Guangzhou Shi	China	Guangzhou Shi	China
35.86166	104.195397	Lanzhou Shi	China	Lanzhou Shi	China
31.2974197	121.5014291	Shanghai	China	Shanghai	China
31.3	121.5	Shanghai	China	Shanghai	China
43.95	116.08	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.14	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.16	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.17	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.21	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.23	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.26	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.3	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.33	Xilinguole Meng	China	Xilinguole Meng	China
43.95	116.35	Xilinguole Meng	China	Xilinguole Meng	China
22.55	113.24	Zhongshan Shi	China	Zhongshan Shi	China
22.15	114.1	Zhuhai Shi	China	Zhuhai Shi	China
4.6500014	-74.0589398	Bogotá	Colombia	Bogota	Colombia
4.7109886	-74.072092	Bogotá	Colombia	Bogota	Colombia
5.3599517	-4.0082563	Abidjan	Côte d'Ivoire	Abidjan	Cote d’Ivoire
45.8150108	15.9819189	Zagreb	Croatia	Zagreb	Croatia
48.9744694	14.4743417	České Budějovice	Czechia	Ceske Budejovice	Czechia
50.1226675	16.2131856	Kostelec nad Orlicí	Czechia	Kostelec nad Orlici	Czechia
49.1278897	16.6144122	Modřice	Czechia	Modfice	Czechia
49.8346453	18.2820442	Ostrava	Czechia	Ostrava	Czechia
49.7477831	13.3783489	Pilsen	Czechia	Pilsen	Czechia
50.0751514	14.3406075	Prague	Czechia	Prague	Czechia
50.0755381	14.4378005	Prague	Czechia	Prague	Czechia
50.0835494	14.4341414	Prague	Czechia	Prague	Czechia
50.5583072	14.8217867	Ralsko	Czechia	Ralsko	Czechia
50.6604875	14.0406928	Ústí nad Labem	Czechia	Usti nad Labem	Czechia
49.6358083	18.4569128	Vyšní Lhoty	Czechia	Vysni Lhoty	Czechia
49.1874756	16.3586742	Zastávka	Czechia	Zastavka	Czechia
49.1879958	16.3630967	Zastávka	Czechia	Zastavka	Czechia
56.26392	9.501785	Kjellerup	Denmark	Kjellerup	Denmark
55.6616585	12.5167753	København	Denmark	Kobenhavn	Denmark
55.6760968	12.5683372	København	Denmark	Kobenhavn	Denmark
-0.8674715	-89.436391	Islas Galápagos	Ecuador	Islas Galapagos	Ecuador
13.794185	-88.89653	Cabañas	El Salvador	Cabanas	El Salvador
8.9806034	38.7577605	Addis Ababa	Ethiopia	Addis Ababa	Ethiopia
60.1698557	24.9383791	Helsingfors	Finland	Helsingfors	Finland
61.92411	25.748151	Jyväskylä	Finland	Jyvaskyla	Finland
61.505	23.815	Tampere	Finland	Tampere	Finland
46.227638	2.213749	Courtabœuf Cedex	France	Courtaboeuf Cedex	France
49.5	6.2	Évrange	France	Evrange	France
43.2888	5.4005	Marseille	France	Marseille	France
52.5200066	13.404954	Berlin	Germany	Berlin	Germany
49.0151676	8.4008814	Karlsruhe	Germany	Karlsruhe	Germany
51.165691	10.451526	Niederdorla	Germany	Niederdorla	Germany
48	8	Stegen	Germany	Stegen	Germany
47.497912	19.040235	Budapest	Hungary	Budapest	Hungary
64.1265206	-21.8174392	Reykjavík	Iceland	Reykjavik	Iceland
9.9312328	76.2673041	Kochi	India	Kochi	India
35.6891975	51.3889736	Tehran	Iran	Tehran	Iran
51.8925	-8.4964	Cork	Ireland	Cork	Ireland
53.270668	-9.0567905	Galway	Ireland	Galway	Ireland
31.768319	35.21371	Jerusalem	Israel	Jerusalem	Israel
44.4950537	11.3427401	Bologna	Italy	Bologna	Italy
41.87194	12.56738	Roma	Italy	Roma	Italy
41.9027835	12.4963655	Roma	Italy	Roma	Italy
34.65	135.05	Kōbe-shi	Japan	Kobe-shi	Japan
36.29	139.38	Ōta-shi	Japan	Ota-shi	Japan
35.92	139.63	Saitama-shi	Japan	Saitama-shi	Japan
30.585164	36.238414	Al-Jafr	Jordan	Al-Jafr	Jordan
31.9454	35.9284	Amman	Jordan	Amman	Jordan
43.2220146	76.8512485	Almaty	Kazakhstan	Almaty	Kazakhstan
-1.2920659	36.8219462	Nairobi	Kenya	Nairobi	Kenya
42.6629138	21.1655028	Prishtina	Kosovo	Prishtina	Kosovo
